antelope,
antlr,
antlr3,
arduino,
axis,
babel,
basex,
beansbinding,
boo,
bsh,
castor,
cdk,
cobertura,
commons-configuration,
doctorj,
eclipse,
eclipse-cdt,
eclipselink,
felix-gogo-runtime,
flute,
freetts,
glassfish,
groovy,
groovy1.7.2,
hsqldb,
htmlunit-core-js,
ikvm,
jackrabbit,
jakarta-jmeter,
jakarta-taglibs-standard,
javacc,
javacc-maven-plugin,
javadap,
jedit,
jenkins-htmlunit-core-js,
jenkins-xstream,
jexcelapi,
jing-trang,
jmol,
josql,
jruby,
jruby-joni,
jsoup,
jtb,
jvyamlb,
libcobra-java,
libcommons-el-java,
libcommons-jexl-java,
libcommons-jxpath-java,
libdtdparser-java,
libformula,
libfreemarker-java,
libitext1-java,
libjaxen-java,
libjboss-web-services-java,
libjboss-metadata-java,
libjsyntaxpane-java,
libjxp-java,
libnb-javaparser-java,
libreoffice,
libskinlf-java,
libspring-security-2.0-java,
libstax-java,
libspring-java,
libvoikko,
libxerces2-java,
libxpp3-java,
libxstream-java,
logback,
lucene-solr,
lucene2,
mkgmap,
msv,
netbeans,
ognl,
omegat,
omegat-plugin-tokenizer,
openafs,
opsin,
pegasus-wms,
pylucene,
rhino,
rsyntaxtextarea,
sablecc,
saxonb,
tau,
tomcat6,
tomcat7,
uima-addons,
uimaj,
velocity,
visolate,
wsdl2c,
xmlbeans,
xhtmlrenderer,
yui-compressor,
zeroc-ice,
