a2ps,
abook,
acct,
acedb,
admesh,
apcupsd,
adplay,
aide,
amanda,
anubis,
aranym,
argtable2,
arp-scan,
asymptote,
atomicparsley,
augeas,
autoproject,
autotrace,
baycomepp,
baycomusb,
bc,
binfmt-support,
binutils,
binutils-h8300-hms,
bison,
bogofilter,
cabextract,
catdvi,
cbflib,
ccrypt,
cdcd,
cadaver,
cfengine2,
cfengine3,
cflow,
concordance,
coreutils,
cpio,
cpmtools,
cpu,
cronolog,
ctsim,
cvs,
dc3dd,
cdrkit,
gnu-fdisk,
deskmenu,
dico,
dict-gcide,
diction,
diffutils,
dircproxy,
directvnc,
doodle,
doscan,
dpkg,
drc,
dvhtool,
easyh10,
eblook,
eglibc,
ekg,
ekg2,
emacs23,
enigma,
enscript,
esorex,
esound,
fastdep,
fastjar,
febootstrap,
feh,
fetchmail,
findutils,
flac,
fcrackzip,
freedink,
freedroid,
freepops,
freewnn,
fribidi,
freedroidrpg,
fuse-emulator,
fuzz,
fwknop,
fyre,
ganglia,
gawk,
gcc-h8300-hms,
gccxml,
gcl,
gcompris,
gdb,
gengetopt,
genparse,
gesftpserver,
gettext,
gforth,
gliv,
global,
gmediaserver,
gmime,
gnokii,
gnu-smalltalk,
gnugo,
gnuit,
gnulib,
gozer,
gperf,
gpivtools,
gputils,
grep,
gridengine,
grisbi,
groff,
grub,
grub2,
gsasl,
gss,
gtkwave,
gtypist,
gurlchecker,
gv,
gvpe,
gzip,
hello,
hello-debhelper,
heroes,
hivex,
hoz,
hp2xx,
httperf,
httptunnel,
icoutils,
id-utils,
id3lib3.8.3,
ifile,
ike-scan,
imwheel,
inetutils,
ipv6calc,
jbig2dec,
jclassinfo,
jpeginfo,
jpegoptim,
kakasi,
kbuild,
kimwitu++,
labrea,
jwhois,
lcdproc,
le,
lftp,
libalberta2,
libcdio,
libcommoncpp2,
libdmtx,
libextractor,
libguestfs,
libidn,
liblouis,
liblouisutdml,
liblouisxml,
libmng,
libofx,
libtasn1-3,
libtext-bibtex-perl,
libtheora,
liece,
logjam,
lrzsz,
lsh-utils,
luatex,
lyskom-server,
m4,
madplay,
mailfilter,
mailutils,
make-dfsg,
man-db,
matanza,
lsmbox,
mboxgrep,
metapixel,
microdc2,
min12xxw,
mlocate,
moc,
mp3blaster,
mp4h,
mikmod,
mtr,
munge,
nagios-plugins,
namazu2,
nap,
nast,
nc6,
ncurses-hexedit,
netcf,
netdiag,
netpbm-free,
nettle,
newlib,
netrw,
nis,
normalize-audio,
ntop,
numdiff,
octave,
open-cobol,
openswan,
oroborus,
paperkey,
parted,
patch,
patchutils,
pclock,
pidgin,
plotutils,
potrace,
pptpd,
proftpd-dfsg,
pspp,
qiv,
quagga,
ratpoison,
rcs,
rcs-blame,
quarry,
recode,
recutils,
redir,
remake,
renameutils,
rlpr,
rplay,
rrdcollect,
rrep,
rush,
sane-backends-extras,
sane-frontends,
sary,
sane-backends,
scrot,
sdcv,
sed,
sharutils,
shishi,
siege,
sitecopy,
slurm-llnl,
smartmontools,
soundmodem,
source-highlight,
speex,
spell,
ssed,
survex,
sxid,
syrep,
texinfo,
tar,
therion,
thrust,
time,
tinc,
tmpreaper,
transcode,
trueprint,
ttfautohint,
units,
visualboyadvance,
vorbis-tools,
vorbisgain,
wdiff,
wget,
wine,
wmnet,
wmpinboard,
wput,
wuzzah,
wv,
virtuoso-opensource,
xbmc,
xdelta,
xine-ui,
xmp,
xplanet,
texlive-bin,
xsane,
xscorch,
xtermcontrol,
xz-utils,
xzgv,
yafc,
yiyantang,
z80asm,
zile,
