abcmidi,
acorn-fdisk,
acsccid,
adplug,
alliance,
alpine,
alsa-tools,
amanda,
angband,
anjuta,
aranym,
arj,
asterisk,
audacious-plugins,
audacity,
batctl,
bglibs,
bind9,
binutils,
binutils-h8300-hms,
bogofilter,
bomberclone,
boost1.49,
bygfoot,
c-icap,
cableswig,
ccid,
cctools,
cdebconf,
chromium-browser,
cmus,
coccinelle,
commons-daemon,
crack,
criticalmass,
cssed,
ctdb,
curl,
cvsps,
dahdi-tools,
dante,
dbmix,
dbus-python,
courier-authlib,
cups,
dia,
dict-gcide,
dovecot-antispam,
dpkg,
directfb,
dreamchess,
dvdisaster,
elk,
epic4,
epic5,
elvis,
epson-inkjet-printer-escpr,
exim4,
exuberant-ctags,
faumachine,
fceu,
fftw3,
fio,
firmware-free,
folks,
freegish,
freeipmi,
freebsd-libs,
freetds,
fvwm,
gambas3,
gammu,
gargoyle-free,
gauche-c-wrapper,
gawk,
gbonds,
gcc-h8300-hms,
gccxml,
gcompris,
gdal,
gdb,
geany-plugins,
geeqie,
gesftpserver,
ghc,
glabels,
gnome-phone-manager,
gnu-efi,
gnu-smalltalk,
gnuchess,
gnuradio,
gnutls26,
gpac,
gpgme1.0,
gphpedit,
gramophone2,
grass,
gscanbus,
gtk-gnutella,
gnumach,
gtkwave,
guile-1.6,
guile-1.8,
guile-2.0,
halevt,
hamlib,
hwinfo,
hypre,
i3-wm,
icedove,
iceweasel,
ifhp,
imagemagick,
ipset,
ipxe,
ircii,
json-c,
jwm,
kfreebsd-8,
kfreebsd-9,
knews,
krb5,
ksh,
lcd4linux,
lcdproc,
ldb,
libaal,
libassuan,
libast,
libburn,
libcdk5,
libconvert-binary-c-perl,
libffi,
libgadu,
libgcr410,
libgii,
libgsm,
libguestfs,
libgwenhywfar,
libgetdata,
libid3tag,
libieee1284,
libimobiledevice,
libmaa,
libmp3splt,
libnice,
libpipeline,
libpst,
librcd,
libsemanage,
libsepol,
libx86,
liferea,
linux,
linux-atm,
linux-ntfs,
linux-tools,
linux86,
lprng,
lsh-utils,
ltrace,
luatex,
lyskom-server,
m4,
mailutils,
man-db,
mc,
mdbtools,
mesa,
mit-scheme,
monkeystudio,
mozart,
mozjs,
mp4h,
mhddfs,
mrxvt,
multipath-tools,
mumble,
mummer,
mysql-5.5,
nabi,
navit,
netcdf,
netrik,
netw-ib-ox-ag,
newlib,
mpich2,
nickle,
ntfs-3g,
nufw,
nwchem,
nyquist,
ofono,
open-axiom,
open-vm-tools,
openbox,
opendnssec,
openldap,
opensc,
openscap,
opus,
p11-kit,
pam-pkcs11,
paraview,
parrot,
parted,
pcsxr,
pdns,
pdnsd,
pegasus-wms,
pgapack,
php5,
picviz,
pidgin,
pilot-link,
pimd,
pcsc-lite,
plucker,
pmw,
pnm2ppa,
polarssl,
powerman,
ppp,
prelude-lml,
prelude-manager,
ptlib,
python2.6,
python2.7,
python3.2,
qstat,
quagga,
qutecom,
r-base,
racket,
radare2,
radsecproxy,
redhat-cluster,
redis,
regina-rexx,
remake,
roaraudio,
root-system,
rplay,
rsyslog,
rp-pppoe,
ruby1.9.1,
samba,
samba4,
scm,
scrollz,
scute,
sdop,
shush,
similarity-tester,
sipcrack,
slirp,
smbc,
snort,
spl,
squeak-vm,
sra-sdk,
ssldump,
sssd,
stalonetray,
starpu,
streamripper,
strongswan,
squid,
swi-prolog,
syslinux,
tcpser,
telepathy-gabble,
telepathy-haze,
telepathy-logger,
telepathy-mission-control-5,
telepathy-rakia,
telepathy-salut,
syncevolution,
tcpick,
telepathy-glib,
tiemu,
tin,
tintin++,
tnef,
trueprint,
tua,
u-boot,
uclmmbase,
ufsutils,
uim,
umview,
unar,
unionfs-fuse,
userv,
uucp,
v86d,
valgrind,
vdpau-video,
virtualbox,
vnc4,
vte,
vte3,
wdm,
wine,
wine-gecko-1.4,
wise,
virtuoso-opensource,
weplab,
xautomation,
xblast-tnt,
xbmc,
xen,
xfrisk,
xfsprogs,
xiterm+thai,
xmhtml,
xmp,
xneur,
xorg-server,
xorp,
texlive-bin,
xqf,
xresprobe,
xvidcore,
xview,
xymon,
yabause,
yasr,
yorick,
yics,
zzuf,
