acegi-security,
activemq,
aether,
ant,
axis,
batik,
castor,
chromium-browser,
eclipse-rse,
freehep-util,
geronimo-javamail-1.4-spec,
glassfish,
guava-libraries,
guice,
hessian,
ikvm,
jcsp,
jedit,
jing-trang,
jnr-netdb,
jtharness,
jbossas4,
libbluray,
libbtm-java,
libcommons-discovery-java,
libcommons-modeler-java,
libgnumail-java,
libhibernate3-java,
libj2ssh-java,
libjboss-aop-java,
libjboss-deployers-java,
libjboss-web-services-java,
libspring-java,
libtritonus-java,
mockobjects,
mojarra,
mozc,
mule,
netbeans,
paraview,
protobuf,
sisu-guice,
tomcat6,
tomcat7,
uima-addons,
uimaj,
wsdl2c,
wsdl4j,
wsil4j,
xmlgraphics-commons,
zeroc-ice,
