ant-contrib,
axis,
dnsjava,
eclipse,
eclipse-rse,
electric,
festival,
freecol,
freetts,
ikvm,
jaminid,
jesd,
jbossas4,
libhibernate3-java,
libjboss-classloader-java,
libjboss-microcontainer-java,
libjboss-remoting-java,
libmx4j-java,
mina,
mina2,
mule,
netbeans,
netbeans-cvsclient,
nut,
nwchem,
opennebula,
pegasus-wms,
polyorb,
postgis,
red5,
sezpoz,
weirdx,
zeroc-ice,
zeroc-icee-java,
