accessodf,
axis,
biojava3-live,
brailleutils,
carmetal,
castor,
cdk,
cortado,
dom4j,
dotlrn,
eclipse,
eclipse-rse,
eclipselink,
ehcache,
galax,
glassfish,
guice,
htmlunit,
ikvm,
jakarta-ecs,
jas,
jaxme,
jclic,
jenkins-dom4j,
jenkins-htmlunit,
jetty,
jing-trang,
jmol,
jsoup,
jericho-html,
kxml2,
libaxiom-java,
libexml-java,
libglazedlists-java,
libitext-java,
libitext1-java,
libitext5-java,
libjaxen-java,
libjaxp1.3-java,
libjboss-deployers-java,
libjdo-api-java,
libjdom1-java,
libnb-javaparser-java,
libwoodstox-java,
mkgmap,
netbeans,
omegat,
pdftk,
pentaho-reporting-flow-engine,
scilab,
simple-xml,
sisu-guice,
txw2,
umlet,
weka,
xml-commons-external,
xml-crimson,
xmlbeans,
xom,
