ant,
aspectj,
bsh,
castor,
checkstyle,
classworlds,
cmake,
cobertura,
commons-beanutils,
eclipse-emf,
jakarta-ecs,
jcsp,
jbossas4,
jython,
libhibernate-validator-java,
libhibernate3-java,
libjboss-aop-java,
libjboss-classloader-java,
libjboss-deployers-java,
libnb-javaparser-java,
mauve,
netbeans,
openjpa,
plexus-classworlds,
plexus-containers1.5,
plexus-containers,
python-jpype,
scala,
sisu-ioc,
svgsalamander,
testng,
