anjuta,
anjuta-extras,
aqualung,
audacious-plugins,
ayttm,
binutils,
bluez,
bs2b-ladspa,
cdebconf,
claws-mail,
claws-mail-extra-plugins,
collectd,
connman,
cssed,
cwirc,
dictd,
fbpanel,
flac,
fso-datad,
fso-deviced,
fso-gsmd,
fso-usaged,
gdb,
geany-plugins,
genius,
ggobi,
gimp-plugin-registry,
gmpc,
gmpc-plugins,
gnunet,
goffice,
grass,
gsoap,
gst-buzztard,
gst-plugins-bad0.10,
gst-plugins-base0.10,
gst-plugins-good0.10,
gtkpod,
gst-plugins-ugly0.10,
gxine,
heimdal,
hugs98,
jack-rack,
jackeq,
jamin,
jeex,
jpilot-backup,
krb5,
lcd4linux,
ldm,
lebiniou,
libfsoframework,
libgwenhywfar,
librcc,
lighttpd,
lilv,
luatex,
lxappearance,
lxpanel,
lv2dynparam1,
mlt,
mupen64plus-core,
mupen64plus-input-sdl,
mupen64plus-ui-console,
naspro-bridge-it,
naspro-bridges,
navit,
ncmpc,
network-manager,
nsis,
ntop,
obexd,
ofono,
olsrd,
openhpi,
openldap,
openvpn,
pacemaker,
pcsxr,
pidgin,
plymouth,
ppp,
radare2,
roarplaylistd,
rubrica,
rp-pppoe,
samba,
samba4,
slurm-llnl,
slv2,
sushi,
sweep,
sylpheed,
syslog-ng,
telepathy-gabble,
telepathy-salut,
traverso,
unagi,
upse,
uwsgi,
vdr,
vile,
vlc,
vlock,
weechat,
win32-loader,
wireshark,
virtuoso-opensource,
xchat,
xchat-gnome,
xfce4-clipman-plugin,
xfce4-messenger-plugin,
xine-plugin,
xmms2,
xneur,
texlive-bin,
zbar,
zynjacku,
zziplib,
