ant,
asm,
asm2,
asm3,
axis,
babel,
basex,
bcel,
bsh,
castor,
cvc3,
db,
db4.7,
db4.8,
dnsjava,
eclipse,
eclipse-cdt,
eclipse-mylyn,
eclipselink,
geronimo-jpa-2.0-spec,
glassfish,
gluegen2,
ikvm,
jackrabbit,
jaffl,
jajuk,
jakarta-ecs,
javassist,
jcharts,
jexcelapi,
jffi,
jruby,
jtb,
japitools,
libdb-je-java,
libformula,
libhibernate3-java,
libjboss-aop-java,
libjibx1.2-java,
libjlha-java,
libjogl-java,
libnb-javaparser-java,
libreoffice,
libxalan2-java,
libxbean-java,
mathpiper,
mondrian,
mpj,
msv,
netbeans,
olap4j,
openjpa,
qdox,
saxonb,
scala,
sdo-api-java,
simple-xml,
sisu-ioc,
uimaj,
xmlbeans,
