anytun,
attal,
balder2d,
bowtie,
cclive,
clanlib,
condor,
coolkey,
cxxtools,
dolfin,
efte,
freemedforms-project,
fte,
gfan,
gnash,
innoextract,
k3d,
kdenetwork,
kdepim,
kstars,
libktorrent,
libstxxl,
licq,
mana,
minbif,
minetest,
monav,
mongodb,
mp4v2,
mrd6,
mysql-5.5,
oggvideotools,
pingus,
pokerth,
qtsmbstatus,
qtzeitgeist,
raul,
scummvm,
slim,
softhsm,
supertuxkart,
tcpreen,
tinymux,
uhd,
vavoom,
virtualbox,
wesnoth-1.10,
wxwidgets2.8,
xbmc,
xboxdrv,
znc,
