apache-mime4j,
babel,
basex,
batik,
beansbinding,
biojava-live,
bsh,
castor,
cdk,
bootchart,
cobertura,
commons-configuration,
dita-ot,
doctorj,
doxia,
eclipse,
eclipse-cdt,
eclipse-mylyn,
eclipse-linuxtools,
flute,
geronimo-javamail-1.4-spec,
glassfish,
httpcomponents-core,
icedtea-web,
iceweasel,
ikvm,
ivy,
jackrabbit,
jakarta-taglibs-standard,
javacc,
javacc-maven-plugin,
javadap,
jenkins-commons-jexl,
jing-trang,
josql,
jsilver,
json-simple,
jtb,
jtreg,
jts,
jython,
libcobra-java,
libcommons-cli-java,
libcommons-el-java,
libcommons-jexl-java,
libcommons-jxpath-java,
libformula,
libfreemarker-java,
libgnumail-java,
libitext1-java,
libjcommon-java,
libjboss-metadata-java,
libjlatexmath-java,
libjxp-java,
libjgraphx-java,
libnetx-java,
libskinlf-java,
libspring-java,
libxerces2-java,
libxml-java,
lucene2,
msv,
mvel,
netbeans,
ognl,
openjdk-6,
openjdk-7,
openjpa,
osgi-foundation-ee,
pdfsam,
proguard,
pylucene,
qdox,
tomcat6,
tomcat7,
velocity,
visolate,
xmlbeans,
