4g8,
4store,
9base,
9wm,
a2ps,
acct,
acedb,
acorn-fdisk,
acpitail,
aolserver4,
advancecomp,
aide,
ale,
allegro4.4,
alliance,
alsa-lib,
anubis,
aplus-fsf,
argyll,
arp-scan,
audiofile,
avahi,
bar,
bglibs,
bibtool,
bind9,
binfmt-support,
bison,
bluez,
bogofilter,
byacc,
byacc-j,
cableswig,
cacti-spine,
cctools,
cdo,
cdrdao,
btyacc,
cflow,
checkpw,
chromium-browser,
coccinelle,
comedilib,
cloop,
connman,
cook,
coreutils,
coriander,
cpio,
csh,
csync2,
ctdb,
cue2toc,
cvs,
daemontools,
dc3dd,
debfoster,
cups,
dash,
cdrkit,
dict-gcide,
diffutils,
diod,
djmount,
dmalloc,
dmucs,
dopewars,
dot-forward,
dpkg,
drawterm,
drc,
dspam,
e2fsprogs,
eb,
ebnetd,
echoping,
eglibc,
elinks,
elk,
elmerfem,
eukleides,
f2c,
faad2,
fair,
fastforward,
fbb,
febootstrap,
fenix,
fhist,
findutils,
firebird2.5,
fpc,
fped,
freebsd-buildutils,
freecdb,
freedink,
freeipmi,
freesweep,
freewnn,
freetds,
fsarchiver,
fuse-emulator,
gauche,
gcal,
gcc-h8300-hms,
gccxml,
gcl,
gdis,
genparse,
geomview,
gettext,
gjiten,
gjs,
glib2.0,
glosstex,
gmediaserver,
gnu-efi,
gnuit,
gnulib,
gnutls26,
goaccess,
gpac,
gpgme1.0,
gpsbabel,
graphicsmagick,
graphviz,
grass,
grep,
grpn,
grub2,
gsasl,
gsl,
gss,
gstreamer0.10-ffmpeg,
gtk-gnutella,
gtk-sharp2,
gtypist,
guile-1.6,
guile-1.8,
guile-2.0,
gv,
gzip,
ha,
halibut,
hebcal,
heimdal,
hello,
hello-debhelper,
heroes,
hexec,
hivex,
httping,
httrack,
icedove,
iceweasel,
icmake,
icoutils,
id-utils,
ifile,
igraph,
ike-scan,
iml,
inetutils,
ipband,
iperf,
ipgrab,
ipsvd,
iptraf,
isomaster,
jansson,
jocaml,
jwm,
kbuild,
kde-workspace,
keytouch-editor,
kimwitu,
klibc,
kraptor,
krb5,
ksh,
lam,
larswm,
krb5-sync,
lcgdm,
ldapvi,
ldb,
ldns,
lftp,
libalberta2,
libapreq2,
libav,
libexplain,
libgtop2,
libguac,
libguestfs,
libgwenhywfar,
libgetdata,
libice,
libidn,
libidn2-0,
libimager-perl,
libiodbc2,
libixp,
libmaa,
libmatheval,
libmpdclient,
libnih,
libnl3,
libpgm,
libpipeline,
libquantum,
libsmi,
libssh,
libstatgrab,
libtext-bibtex-perl,
libticables,
libticalcs,
libtifiles,
libunistring,
libusb,
libuser,
libvirt,
libxml2,
libzorpll,
lifelines,
links2,
linux,
linux86,
liquidwar,
link-grammar,
log4c,
lm-sensors,
lmms,
lrzsz,
luatex,
lwm,
lxc,
m4,
mailutils,
makebootfat,
man-db,
mapserver,
mawk,
meanwhile,
memdump,
memtest86,
memtest86+,
mesa,
microdc2,
mig,
ming,
minicom,
mit-scheme,
mlocate,
mlt,
modules,
mono,
mp4h,
mpfi,
mplayer,
multitail,
myodbc,
nagios-plugins,
nagircbot,
nast,
ncpfs,
netbeans,
netcdf,
netcf,
netpbm-free,
netqmail,
netsend,
netw-ib-ox-ag,
mpich2,
nfs-utils,
nickle,
nip2,
nmap,
nsis,
nss,
ntp,
numdiff,
nvclock,
nwchem,
oath-toolkit,
ocaml,
octave,
nmh,
open-cobol,
open-iscsi,
openarena,
openct,
openldap,
openmpi,
openscap,
openswan,
openvpn,
owfs,
packit,
pam-pkcs11,
paraview,
parrot,
parted,
patch,
pcb,
pdmenu,
pdns,
pdnsd,
pidgin,
pidgin-nateon,
pcsc-lite,
perl-byacc,
player,
pmw,
polarssl,
postfix,
postgresql-8.4,
postgresql-9.1,
powerman,
pspp,
pulseaudio,
python-igraph,
python-libpcap,
qemu,
qemu-kvm,
qutecom,
rabbitsign,
racket,
radiance,
rcs,
rcs-blame,
rdd,
recite,
recode,
recoverdm,
recutils,
regina-rexx,
remctl,
renameutils,
rlinetd,
rlpr,
roaraudio,
rrep,
rt-tests,
ruby-gsl,
ruby1.8,
ruby1.9.1,
runit,
rush,
s390-tools,
s3d,
safecat,
samba,
samba4,
schedtool,
scilab,
sdlbasic,
sdop,
sed,
shapetools,
sharutils,
shhmsg,
shishi,
shush,
sigscheme,
similarity-tester,
skalibs,
sketch,
slurm,
socat,
splint,
squizz,
st,
staden-io-lib,
starlink-ast,
subversion,
sudo,
super,
swi-prolog,
swig2.0,
swish-e,
syslinux,
tablix2,
taningia,
task-spooler,
tcm,
tcng,
tdb,
telepathy-gabble,
tellico,
texinfo,
texmacs,
tar,
the,
tickr,
tiemu,
time,
tina,
tinydyndns,
tkgate,
tla,
tomcat-native,
torque,
tucnak2,
u-boot,
ucblogo,
uclibc,
ucspi-tcp,
udunits,
uim,
unar,
unrtf,
unsort,
vavoom,
vips,
virtualbox,
vlc,
vnc4,
voms,
vtk,
vxl,
w9wm,
wavemon,
wdiff,
wget,
wine,
wine-gecko-1.4,
wmaker,
wmii,
wv,
xbattle,
xbmc,
xboing,
xdm,
xdmf,
xfpt,
xfs,
xine-lib,
xine-lib-1.2,
xmhtml,
xmlindent,
xmlrpc-c,
xmms2,
xpilot-ng,
xplot,
texlive-bin,
xpyb,
xtrkcad,
xview,
xwatch,
yabause,
ytree,
z88dk,
zbar,
zephyr,
zile,
