ant,
axis,
basex,
castor,
docbook-xsl-saxon,
dom4j,
eclipse,
eclipse-mylyn,
emma-coverage,
freehep-graphicsio-emf,
freeplane,
galax,
glassfish,
htmlunit,
ikvm,
jackrabbit,
java-gnome,
jclic,
jenkins-dom4j,
jenkins-htmlunit,
jetty,
jmol,
knopflerfish-osgi,
latexdraw,
libaxiom-java,
libgnumail-java,
libhtmlparser-java,
libjaxp1.3-java,
libjboss-web-services-java,
libjdom1-java,
libxalan2-java,
logisim,
mauve,
netbeans,
omegat,
pegasus-wms,
scilab,
simple-xml,
sitemesh,
svgsalamander,
swt-gtk,
txw2,
umlet,
xml-commons-external,
xml-crimson,
xmlbeans,
xom,
