ant,
bridge-method-injector,
bsh,
castor,
htmlunit-core-js,
jcsp,
jenkins-commons-jexl,
jenkins-htmlunit-core-js,
jbossas4,
jython,
libcommons-jexl-java,
libcommons-lang-java,
libcommons-lang3-java,
libhibernate-commons-annotations-java,
libhibernate3-java,
libjboss-xml-binding-java,
libnb-javaparser-java,
libxbean-java,
logback,
maven-antrun-extended-plugin,
maven-assembly-plugin,
maven-jar-plugin,
mina2,
mvel,
netbeans,
openjpa,
red5,
rhino,
scala,
surefire,
txw2,
velocity,
