asio,
avifile,
bangarang,
bino,
boinc,
bonnie++,
boost1.49,
btanks,
chromium-browser,
coin3,
cxxtools,
d-itg,
efax-gtk,
gecode,
ginkgocadx,
guymager,
icedove,
iceweasel,
inkscape,
kde-gtk-config,
kftpgrabber,
libccscript3,
libcommoncpp2,
libwibble,
lurker,
megaglest,
muse,
newsbeuter,
nspr,
openhpi,
photoprint,
pinball,
pokerth,
postal,
qt4-x11,
ruby-passenger,
scummvm,
sipwitch,
springlobby,
stockfish,
ucommon,
vdr-plugin-live,
virtualbox,
wesnoth-1.10,
wine-gecko-1.4,
wxwidgets2.8,
zeromq,
