aeskulap,
arora,
basket,
bibledit-gtk,
bsnes,
cb2bib,
colorcode,
cppcheck,
critterding,
cxxtools,
dvbcut,
efax-gtk,
fityk,
freemedforms-project,
gle-graphics,
gource,
ifpgui,
kchmviewer,
kcometen4,
kde-workspace,
kde4libs,
kdegames,
kdepim,
kdetoys,
kftpgrabber,
kscope,
kst,
kdepim-runtime,
licq,
lifeograph,
mandelbulber,
mcrl2,
minbif,
mkvtoolnix,
mednafen,
mustang-plug,
ncmpcpp,
netmrg,
opencsg,
openttd,
pipewalker,
pyside,
qmf,
qonk,
qsapecng,
qt4-x11,
qtcreator,
qtscrob,
quantlib,
quassel,
sludge,
source-highlight,
speedcrunch,
springlobby,
synfigstudio,
tagua,
triplane,
tupi,
vym,
wesnoth-1.10,
wxwidgets2.8,
yagf,
zaz,
