aolserver4,
alpine,
bacula,
bmon,
bombardier,
cableswig,
cbmc,
cde,
cfingerd,
chromium-browser,
ctdb,
darktable,
dhcpcd,
dietlibc,
dreamchess,
ed,
eglibc,
elk,
fatsort,
fish,
frama-c,
freebsd-utils,
freerdp,
gauche,
gcl,
gnunet,
gnupg,
gnupg2,
groff,
gtk-gnutella,
gtk-sharp2,
heimdal,
hexer,
hping3,
hpsockd,
hugs98,
icedove,
iceweasel,
ifmail,
imapfilter,
iperf,
ipwatchd,
jless,
ksh,
ladish,
less,
libevent,
libevent-perl,
libexplain,
libforms,
libfixposix,
libkqueue,
libnih,
liboop,
libpgm,
libreoffice,
libverto,
linux,
linux86,
lua-apr,
lyskom-server,
mailutils,
mgetty,
monit,
mono,
mtools,
mutt,
newlib,
ninja,
nyquist,
oaklisp,
openbox,
opencryptoki,
opendnssec,
openldap,
openmpi,
openwince-jtag,
petsc,
pgbouncer,
poc-streamer,
postgresql-8.4,
postgresql-9.1,
prosody,
pv,
qemu,
qemu-kvm,
rc,
rdist,
rdup,
rtai,
ruby-gsl,
ruby1.8,
ruby1.9.1,
samba,
samba4,
simgrid,
slurm-llnl,
sssd,
stellarium,
strace,
systemtap,
tcsh,
tin,
tmux,
uclibc,
uqwk,
urjtag,
utalk,
uucp,
uwsgi,
wine,
wine-gecko-1.4,
xcrysden,
xen,
xenomai,
zip,
zssh,
