ace,
audiofile,
autodocksuite,
avifile,
bist,
blocks-of-the-undead,
boinc,
bonnie++,
boswars,
celestia,
centerim,
charls,
chromium-browser,
clonalframe,
composite,
condor,
digikam,
doxygen,
firebird2.5,
fruit,
gcin,
gloox,
gnome-system-monitor,
gnuchess,
golly,
grantlee,
guymager,
icedove,
iceweasel,
icu,
imsniff,
jugglemaster,
kde-runtime,
kde4libs,
kdepim,
kdepimlibs,
l7-filter-userspace,
lasi,
libmsn,
link-grammar,
luatex,
megaglest,
minbif,
mkvtoolnix,
mongodb,
meshlab,
museek+,
nsis,
ode,
okular,
opencv,
openuniverse,
packagekit,
photoprint,
plee-the-bear,
psi,
psi-plus,
pybluez,
qca2,
qd,
qgis,
qpid-cpp,
qt4-perl,
qt4-x11,
qtcreator,
qtwebkit,
quassel,
sagasu,
scid,
scribus,
scummvm,
slim,
smpeg,
stopmotion,
task,
tbb,
syncevolution,
tntnet,
toga2,
torcs,
trigger-rally,
tripwire,
uim,
upx-ucl,
verbiste,
vlc,
webkit,
wesnoth-1.10,
wine-gecko-1.4,
wing,
virtuoso-opensource,
xmoto,
texlive-bin,
xylib,
yate,
