ant,
apache-log4j1.2,
bnd,
bsaf,
castor,
commons-vfs,
eclipse,
eclipse-emf,
eigenbase-resgen,
felix-bundlerepository,
felix-osgi-obr,
freecol,
glassfish,
httpcomponents-client,
icedtea-web,
iceweasel,
ikvm,
ivy,
janino,
jasperreports,
jclic,
jetty,
jetty8,
jbossas4,
libcommons-discovery-java,
libglazedlists-java,
libgroboutils-java,
libhibernate3-java,
libjboss-common-java,
libjboss-integration-java,
libloader,
libmicroba-java,
libnetx-java,
libreoffice,
libspring-java,
maven-resources-plugin,
mojarra,
netbeans,
swt-gtk,
tomcat6,
tomcat7,
triplea,
uimaj,
velocity,
wagon,
wagon2,
weirdx,
xhtmlrenderer,
