activemq,
aether,
antlr,
antlr3,
aspectj,
axis,
azureus,
backport-util-concurrent,
biogenesis,
biojava3-live,
checkstyle,
eclipse,
eclipse-egit,
electric,
entagged,
eclipse-linuxtools,
figtree,
freecol,
freeplane,
glassfish,
gnome-split,
helium,
htmlunit-core-js,
iceweasel,
icu4j,
icu4j-4.4,
ikvm,
jakarta-jmeter,
jam-lib,
jclic,
jcsp,
jebl2,
jenkins-htmlunit-core-js,
jruby,
jsymphonic,
jtharness,
jbossas4,
josm,
libapache-poi-java,
libcommons-codec-java,
libdb-je-java,
libjaudiotagger-java,
libjboss-aop-java,
libjibx1.1-java,
libjibx1.2-java,
libjtype-java,
liblaf-widget-java,
libmx4j-java,
libnb-javaparser-java,
libpgjava,
libpal-java,
libtritonus-java,
libxalan2-java,
libxbean-java,
libxml-security-java,
lwjgl,
maven-install-plugin,
mkgmap,
netbeans,
openrocket,
red5,
rhino,
robocode,
ruby-json,
scala,
scilab,
sikuli,
sisc,
tdiary,
testng,
triplea,
tstools,
umlet,
weka,
wsdl2c,
zeroc-ice,
zookeeper,
