aolserver4,
anjuta,
atlc,
augeas,
blender,
cableswig,
cc1111,
chromium-browser,
coccinelle,
coldfire,
collectd,
colo,
covered,
cpm,
crash,
cxref,
dict-gcide,
dmake,
dvdisaster,
dx,
ecl,
eep24c,
elinks,
emu8051,
eztrace,
faumachine,
fceu,
fio,
flac,
fontforge,
fcitx,
freefem++,
freerdp,
funnelweb,
fuse-emulator,
gammu,
gargoyle-free,
gcl,
gcompris,
gdb,
getfem++,
gif2png,
gmp,
gmp-ecm,
gngb,
gnupg,
graphicsmagick,
graphviz,
grass,
gravitywars,
gtk-gnutella,
gtkboard,
grcompiler,
gwc,
hatari,
helium,
hwinfo,
hypre,
icedove,
iceweasel,
igraph,
imagemagick,
imapfilter,
inteltool,
invaders,
ircd-hybrid,
isc-dhcp,
jack-tools,
jansson,
jbofihe,
jocaml,
john,
jzip,
kde-workspace,
keytouch-editor,
ladr,
keepalived,
libalberta2,
libdebug,
libgdata,
libgwenhywfar,
libibverbs,
libmaa,
libreoffice,
libspectrum,
libsysactivity,
libvirt,
links2,
linux,
luatex,
lyskom-server,
mawk,
meschach,
mlmmj,
mono,
mpclib,
mpfr4,
mtpaint,
multipath-tools,
mupen64plus-core,
neko,
net-snmp,
netpbm-free,
newlib,
nwchem,
ocaml,
ocfs2-tools,
openblas,
opendnssec,
openldap,
openmpi,
paraview,
php5,
pmacct,
postgresql-8.4,
postgresql-9.1,
pysparse,
python-scipy,
qemu,
qemu-kvm,
qt4-x11,
qtwebkit,
quagga,
r-base,
regina-rexx,
rgbpaint,
rpm2html,
sdcc,
siege,
silo,
simulavr,
skyeye,
spass,
sprng,
sssd,
starlink-ast,
suitesparse,
superlu,
swapspace,
swig2.0,
syslinux,
the,
timps,
tin,
tina,
tintin++,
tkgate,
tree-puzzle,
u-boot,
uclmmbase,
unixcw,
uhub,
vips,
vnc4,
watchdog,
webkit,
wine,
wine-gecko-1.4,
wmaker,
xcircuit,
xcrysden,
xen,
xf86-input-multitouch,
texlive-bin,
xymon,
xzip,
yabause,
