9wm,
acedb,
aewm,
apex,
allegro4.4,
ap-utils,
atris,
barrage,
bomberclone,
brltty,
bumprace,
busybox,
cgoban,
claws-mail,
darkplaces,
dd2,
dhcpcd-ui,
dhex,
dossizola,
eb,
ebview,
ekg2,
elinks,
emacs23,
etw,
excellent-bifurcation,
fbpanel,
feh,
firmware-free,
flobopuyo,
foobillard,
freeciv,
freedroid,
freegish,
freedroidrpg,
fuse-emulator,
fvwm,
g2ipmsg,
garden-of-coloured-lights,
gcompris,
geany-plugins,
geeqie,
gltron,
gman,
gngb,
gnome-games,
gnome-panel,
gnome-phone-manager,
gnujump,
goban,
gpaint,
grass,
grisbi,
grub2,
gsql,
gtk+2.0,
gtk2-engines-qtcurve,
gtkboard,
gtkwave,
gwyddion,
gxine,
hardinfo,
hunt,
instead,
ircii,
irsim,
isns,
jed,
jeex,
joe,
jumpnbump,
jupp,
jwm,
ketm,
koules,
kraptor,
kterm,
ladish,
lbreakout2,
lcdproc,
leafpad,
libace-perl,
libcdk5,
libdbusmenu,
libforms,
libsx,
links2,
linux,
linux-tools,
liquidwar,
lmarbles,
logjam,
ltris,
lttv,
luatex,
luola,
lxpanel,
mc,
metacity,
mixmaster,
mknbi,
moc,
mousepad,
mplayer,
mutt,
navit,
ne,
nedit,
netsurf,
mutter,
nn,
nut-nutrition,
ocaml,
open-axiom,
openbox,
overgod,
pachi,
pcb,
pcsxr,
pdmenu,
pente,
powermanga,
quakespasm,
radiusd-livingston,
refit,
rox,
rtai,
s3d,
scanmem,
schism,
scrollz,
seabios,
searchandrescue,
slimevolley,
slrn,
spice-gtk,
swi-prolog,
sylpheed,
syslinux,
tack,
tcm,
tgif,
tucnak2,
tuxmath,
tuxpuck,
tvtime,
typespeed,
u-boot,
uclibc,
undertaker,
utalk,
uzbl,
vdr,
vdr-plugin-fritzbox,
vdr-plugin-mp3,
vdr-plugin-osdteletext,
vdr-plugin-remoteosd,
vdr-plugin-streamdev,
vdr-plugin-xineliboutput,
vdr-plugin-vcd,
vile,
vim,
vnc4,
w3m,
w9wm,
whowatch,
wine,
wizznic,
wmaker,
wmii,
xaos,
xball,
xbindkeys-config,
xblast-tnt,
xchat,
xdvik-ja,
xfce4-clipman-plugin,
xfdesktop4,
xfsdump,
xfwm4,
xgalaga,
xine-ui,
xmhtml,
xpaint,
xppaut,
texlive-bin,
xsystem35,
xterm,
xtux,
xview,
yabause,
yap,
yardradius,
ygl,
ytalk,
