gauche-c-wrapper,
gnu-smalltalk,
hugs98,
icedove,
iceweasel,
libffi,
librep,
mozjs,
python2.6,
python2.7,
python3.2,
racket,
ruby-ffi,
uim,
wine-gecko-1.4,
