9base,
aolserver4,
alliance,
alsaplayer,
apache2,
apr,
atlas,
autogen,
bcron,
bind9,
blender,
busybox,
c-cpp-reference,
cbmc,
cc1111,
cde,
chromium-browser,
cmucl,
coldfire,
cook,
crossfire,
csh,
cuetools,
db,
db4.7,
db4.8,
drawterm,
drawtk,
ecl,
eglibc,
elinks,
elk,
erlang,
fdclone,
filezilla,
fio,
exfat-utils,
frama-c,
fuse-exfat,
fxt,
gammu,
gavl,
gcl,
glfw,
gmp,
gnu-smalltalk,
gnunet,
gnuplot,
golang,
grub2,
gnumach,
haskell-glfw,
heimdal,
icedove,
iceweasel,
icon,
jack-audio-connection-kit,
jocaml,
kfreebsd-8,
kfreebsd-9,
klibc,
ladish,
ldb,
libcaca,
libcue,
libdispatch,
libexplain,
libfixposix,
libgii,
libguestfs,
libhx,
libibcommon,
libksba,
libmrss,
libpgm,
libreoffice,
linux,
linux86,
liquidwar,
lua-apr,
mailavenger,
mailutils,
mbr,
mc,
minc,
mingw-w64,
mono,
mz,
ncpfs,
netw-ib-ox-ag,
newlib,
ntp,
nvram-wakeup,
ocaml,
ocaml-extunix,
omega-rpg,
nspr,
openldap,
openswan,
parrot,
openvswitch,
pd-zexy,
pgbouncer,
php5,
plan,
putty,
pygame,
python-llfuse,
qgis,
radare2,
roaraudio,
ruby1.8,
ruby1.9.1,
samba,
samba4,
savi,
scm,
sbcl,
sdcc,
sdlbasic,
stellarium,
strace,
subversion,
super,
swi-prolog,
systemtap,
tcpreplay,
tcpick,
time,
traceroute,
tsdecrypt,
u-boot,
uclibc,
uucp,
varnish,
virtualbox,
vnc4,
wine,
wine-gecko-1.4,
x11-apps,
virtuoso-opensource,
xblast-tnt,
xen,
xenomai,
xinetd,
xmlrpc-c,
z88dk,
