actionaz,
aspell,
bcpp,
bespin,
bind9,
bloboats,
boost1.49,
bsnes,
btanks,
cbmc,
cdcat,
condor,
cupt,
dff,
doxygen,
fcitx-googlepinyin,
fcitx-libpinyin,
fcitx-sunpinyin,
firebird2.5,
gammu,
gle-graphics,
gobby,
gobby-infinote,
guymager,
handlersocket,
kchmviewer,
kde-workspace,
kdeartwork,
kdegames,
kdepimlibs,
kdesdk,
kicad,
kscope,
kshutdown,
libccrtp,
libqxt,
libsidplayfp,
libstxxl,
licq,
lightspark,
megaglest,
minbif,
mongodb,
mednafen,
mrtrix,
mupen64plus-video-glide64,
music,
okular,
openldap,
pcsc-cyberjack,
plasma-widget-cwp,
pms,
qapt,
qmpdclient,
qt-assistant-compat,
qt4-x11,
qtoctave,
rafkill,
raidutils,
robojournal,
scummvm,
shaperd,
sidplay-libs,
sobby,
soundkonverter,
stopmotion,
subcommander,
superkaramba,
teeworlds,
tomatoes,
varconf,
verbiste,
vnc4,
vodovod,
vpb-driver,
warmux,
wesnoth-1.10,
wxwidgets2.8,
x11-session-utils,
xbmc,
xfs,
xmms2,
