9base,
accountsservice,
acm,
admesh,
apex,
aeskeyfind,
aewan,
aide,
aisleriot,
alarm-clock-applet,
alpine,
amanda,
angband,
anjuta,
anna,
ant-phone,
aoeui,
apache2,
arpwatch,
asunder,
audacious,
audacious-plugins,
avahi,
awesome,
ayttm,
babeld,
balsa,
barnowl,
bc,
beanstalkd,
bible-kjv,
bind9,
at-spi,
ax25-tools,
bacula,
bip,
bird,
blender,
blktool,
boa,
boinc,
bsd-finger,
busybox,
cableswig,
cacti-spine,
calibre,
calife,
canna,
catdvi,
cc1111,
ccache,
cdde,
cde,
cdo,
cdtool,
certmonger,
cfingerd,
chimera2,
chromium-browser,
chrony,
cifs-utils,
clex,
cloog,
clustalo,
corosync,
couchdb,
covered,
cpio,
criticalmass,
ctdb,
ctwm,
curl,
cvs,
cvsps,
cwiid,
cyrus-imapd-2.4,
cyrus-imspd,
dangen,
dante,
db,
db4.7,
db4.8,
dbacl,
dbus-glib,
dcfldd,
dctrl-tools,
cups,
dbench,
dcap,
cdrkit,
insighttoolkit,
desproxy,
device-tree-compiler,
dfc,
dfu-programmer,
dialog,
dicelab,
dico,
didiwiki,
diffutils,
digikam,
diod,
distcc,
djmount,
dmidecode,
dnsmasq,
docbook-to-man,
dopewars,
dracut,
directfb,
driftnet,
dspam,
dv4l,
dvblast,
dvi2dvi,
dvi2ps,
dwb,
dwdiff,
dzen2,
e2fsprogs,
ebnetd,
echoping,
ekeyd,
elilo,
elk,
empire,
enscript,
esniper,
esound,
etherape,
evince,
evolution,
e2tools,
ezstream,
fftw3,
findutils,
firestarter,
firmware-free,
fish,
flasm,
flpsed,
folks,
foomatic-filters,
foxtrotgps,
fped,
freebsd-buildutils,
freebsd-utils,
freefem++,
freeradius,
freewnn,
freetds,
fso-gsmd,
g2ipmsg,
gargoyle-free,
gbonds,
gbsplay,
gcompris,
gdb,
gdome2,
genius,
geomview,
getfem++,
getstream,
gimp-plugin-registry,
gjay,
glam2,
glbsp,
glfer,
glide,
gltron,
gman,
gnarwl,
gnomad2,
gnome-boxes,
gnome-breakout,
gnome-u2ps,
