a2ps,
abook,
apcupsd,
alex4,
anjuta,
antiword,
aqualung,
atftp,
autodir,
awffull,
biloba,
bld,
blender,
brltty,
bumprace,
bwm-ng,
calligra,
cccd,
cadaver,
cellwriter,
cfingerd,
chromium-browser,
clamz,
cloog,
cloog-ppl,
cmus,
cone,
cook,
courier,
cpm,
cups,
dash,
dns2tcp,
dnshistory,
dpkg,
dreamchess,
dx,
ed2k-hash,
elinks,
enca,
esniper,
eterm,
elvis,
emu8051,
exifprobe,
extace,
exuberant-ctags,
fatsort,
feh,
fetchmail,
fio,
flac,
flex,
foobillard,
foomatic-filters,
fpc,
freeciv,
freegish,
fsarchiver,
fsvs,
ftnchek,
fuse-emulator,
gargoyle-free,
gdb,
geany,
geeqie,
gerstensaft,
glhack,
gliv,
gmerlin-avdecoder,
gmpc,
gnumeric,
gozer,
grdesktop,
gretl,
grpn,
gsoap,
gstreamer0.10-ffmpeg,
gtick,
gtk-gnutella,
gpa,
guile-1.6,
guile-1.8,
guile-2.0,
guvcview,
gv,
gworldclock,
hatari,
helium,
hunt,
hyantesite,
iaxmodem,
icebreaker,
icmake,
iftop,
inetutils,
integrit,
ips,
iptraf,
isc-dhcp,
isdnutils,
italc,
john,
jp2a,
jpnevulator,
kanatest,
kbuild,
kdrill,
klibc,
krb5,
ksh,
ladr,
lebiniou,
libast,
libav,
libburn,
libgda5,
libguestfs,
libmp3splt,
libpam-afs-session,
libpam-krb5,
libppd,
libssh,
linux,
liquidwar,
ltrace,
luasocket,
luatex,
malaga,
love,
mdbtools,
minidlna,
moc,
monkeystudio,
mpc,
mpg321,
mplayer,
myodbc,
ncmpc,
nethack,
netpbm-free,
netsurf,
nn,
nsd3,
numdiff,
nut-nutrition,
nvi,
openldap,
openocd,
openvpn,
otter,
pax,
pdf-presenter-console,
penguin-command,
perdition,
petsc,
pixelize,
ppp,
prayer,
pspp,
psqlodbc,
pv,
python-ldap,
qiv,
qsf,
r-base,
rds-tools,
redhat-cluster,
regina-rexx,
rox,
roxterm,
rsync,
scantool,
scrot,
sflphone,
similarity-tester,
slashem,
slirp,
slurm-llnl,
snarf,
solid-pop3d,
speech-dispatcher,
speechd-up,
src2tex,
stunnel4,
subversion,
super,
sxiv,
tabble,
tcp-wrappers,
teg,
tenace,
tmux,
tnef,
transcalc,
trueprint,
tilp2,
tuxmath,
tuxtype,
u-boot,
uanytun,
udftools,
unixodbc,
uqwk,
vanessa-socket,
vigor,
vnc4,
wine,
wmxmms2,
x11-apps,
x11vnc,
xautolock,
xbmc,
xcfa,
xine-ui,
xinetd,
xli,
xloadimage,
xmp,
xpat2,
xbindkeys,
texlive-bin,
xz-utils,
yaz,
zapping,
zoo,
zsh,
zsh-beta,
