apache-mime4j,
axis,
castor,
dnsjava,
eclipse-emf,
geronimo-javamail-1.4-spec,
glassfish,
ikvm,
jaffl,
jakarta-ecs,
jakarta-taglibs-standard,
jcsp,
jenkins-commons-jelly,
jetty,
jetty8,
josm-plugins,
jbossas4,
libcommons-digester-java,
libgnumail-java,
libhibernate-validator-java,
libhibernate3-java,
libjboss-aop-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-microcontainer-java,
libjboss-remoting-java,
libjboss-xml-binding-java,
libjgroups-java,
libjgroups2.6-java,
libjibx1.1-java,
libjibx1.2-java,
libstruts1.2-java,
mule,
netbeans,
openjpa,
tomcat-native,
tomcat6,
tomcat7,
uddi4j,
