ace,
asio,
bloboats,
boost1.49,
brian,
btanks,
calligra,
centerim,
chromium-browser,
cxxtools,
dbus-c++,
dmtcp,
flush,
kde4libs,
kdenetwork,
kolabadmin,
libktorrent,
libmsn,
libzeep,
mana,
lyx,
minetest,
mysql++,
mysql-connector-c++,
mysql-workbench,
ncbi-blast+,
net6,
nethogs,
networkmanagement,
nsis,
pgagent,
pyodbc,
pytango,
qdacco,
qt4-x11,
qtmobility,
tagua,
telepathy-qt,
texmacs,
syncevolution,
tntdb,
uim,
