between,
centerim,
dc-qt,
eiskaltdcpp,
iceweasel,
iperf,
libsfml,
linuxdcpp,
pong2,
subcommander,
swift-im,
traverso,
voms,
patchage,
yate,
zeroc-ice,
zeroc-icee,
znc,
