0ad,
ace,
assimp,
blocks-of-the-undead,
bulletml,
charls,
clucene-core,
cmake,
ctn,
dasher,
db,
devil,
duma,
eiskaltdcpp,
espeak,
exiv2,
firebird2.5,
gdcm,
ghostscript,
ginkgocadx,
jugglemaster,
lastfm,
libbrahe,
libkml,
libmediainfo,
libreoffice,
libstxxl,
mpg123,
mysql-workbench,
mpich2,
nant,
ogre,
ogre-1.8,
opal,
openscenegraph,
paraview,
passwordmaker-cli,
pykcs11,
qutecom,
rsyncrypto,
scummvm,
stun,
subcommander,
supercollider,
tau,
unmass,
vile,
visualboyadvance,
vnc4,
vtk,
virtuoso-opensource,
xbmc,
xevil,
zeroc-ice,
zeroc-icee,
