aether,
animal-sniffer,
apache-log4j1.2,
avalon-framework,
azureus,
bnd,
cronometer,
dita-ot,
eclipse,
eclipse-emf,
eclipse-rse,
electric,
emma-coverage,
excalibur-logkit,
felix-framework,
felix-utils,
ganymed-ssh2,
glassfish,
groovy,
groovy1.7.2,
hsqldb,
iceweasel,
icu4j,
ikvm,
jakarta-taglibs-standard,
jaxme,
jblas,
jcsp,
jenkins-trilead-ssh2,
jenkins-winstone,
jetty,
jetty8,
jexcelapi,
jftp,
jmol,
jnr-x86asm,
jsch,
jscribble,
jericho-html,
jug,
libcommons-el-java,
libfreemarker-java,
libhibernate3-java,
libjamon-java,
libjboss-aop-java,
libjboss-common-java,
libjtds-java,
libmx4j-java,
libpgjava,
libpal-java,
libreoffice,
libslf4j-java,
libxapool-java,
logback,
mkgmap,
netbeans,
netbeans-cvsclient,
pleiades,
plexus-component-api,
plexus-container-default,
plexus-containers1.5,
plexus-containers,
robocode,
sisu-ioc,
stylebook,
testng,
trilead-ssh2,
uima-addons,
uimaj,
weka,
wesnoth-1.10,
virtuoso-opensource,
zeroc-ice,
zeroc-icee-java,
