antlr,
avalon-framework,
babel,
basex,
bnd,
boo,
cdi-api,
checkstyle,
cvc3,
eclipse,
felix-gogo-runtime,
galax,
glassfish,
htmlunit-core-js,
ikvm,
java-gnome,
java3d,
jaxme,
jenkins-htmlunit-core-js,
jetty,
jgit,
jing-trang,
jbossas4,
jxplorer,
jython,
libfreenect,
libjaxen-java,
libjsr311-api-java,
libnb-javaparser-java,
libsaxon-java,
libxpp3-java,
logback,
lucene-solr,
lwjgl,
msv,
netbeans,
openjpa,
plexus-component-api,
plexus-container-default,
plexus-containers1.5,
plexus-containers,
red5,
rhino,
simple-xml,
sisc,
sisu-ioc,
tau,
tomcat6,
tomcat7,
velocity,
werken.xpath,
writer2latex,
wsdl2c,
yui-compressor,
