asio,
aspell,
audiofile,
boinc,
boost1.49,
cal3d,
cclive,
chromium-browser,
clucene-core,
coin3,
clanlib,
cxxtools,
dbus-c++,
exiv2,
falconpl,
fcitx-unikey,
flush,
gloox,
grfcodec,
groff,
guymager,
ibus-unikey,
kdepim,
kicad,
lammps,
libaqbanking,
libitpp,
libktorrent,
libvoikko,
liggghts,
luabind,
mp4v2,
mednafen,
mpg123,
mrmpi,
mrtrix,
ncmpcpp,
net6,
obby,
ode,
opencv,
openscenegraph,
openvrml,
paraview,
qt-gstreamer,
qt4-x11,
qtcreator,
rlvm,
sam2p,
scim-unikey,
scummvm,
soprano,
tntdb,
tntnet,
tripwire,
vtk,
warmux,
virtuoso-opensource,
xmoto,
