allegro4.4,
argyll,
arpalert,
cableswig,
chromium-browser,
cloog,
cloog-ppl,
coinor-csdp,
cvs,
deng,
dmtcp,
dnprogs,
dspam,
eigen3,
emoslib,
erlang,
ethos,
eztrace,
fbterm,
fluidsynth,
freeimage,
freemat,
frogr,
funtools,
galax,
gdcm,
gimp-gap,
goplay,
graphviz,
gridengine,
gtkwave,
h5py,
hashcash,
hiredis,
httrack,
hyphen,
icedove,
iceweasel,
inotify-tools,
instead,
isomaster,
lcov,
lensfun,
libctl,
libgda5,
libidn,
libjpeg6b,
libkal,
libjpeg8,
libmcrypt,
libmpdclient,
liboil,
libpng,
librcd,
libshout,
libsieve,
libvncserver,
libtk-img,
linux86,
mecab,
memphis,
mhash,
mongodb,
mpdcron,
nana,
ncbi-blast+,
net-snmp,
netpbm-free,
netsurf,
nss,
oflib,
openocd,
openssl,
outguess,
pciutils,
perl-tk,
pgapack,
polylib,
pretzel,
python-numpy,
python2.6,
python2.7,
python3.2,
qt4-x11,
redhat-cluster,
redis,
samba,
samba4,
sfftobmp,
shhopt,
sitplus,
sks-ecc,
smplayer,
snacc,
sparsehash,
stfl,
sweep,
swig2.0,
syslinux,
syslog-ng,
tdom,
torque,
uncrustify,
uthash,
vnc4,
wine-gecko-1.4,
xbmc,
xchat,
xchat-gnome,
xloadimage,
xppaut,
z88dk,
zinnia,
zip,
zlib,
zsh,
zsh-beta,
