0ad,
abiword,
abtransfers,
ace,
acetoneiso,
acoustid-fingerprinter,
acpitool,
actionaz,
aqsis,
aegisub,
aeskulap,
akonadi,
alsa-tools,
alsoft-conf,
alt-key,
amarok,
ams,
amule,
analitza,
antigrav,
antlr,
apper,
apvlv,
aqemu,
aranym,
ardour,
arduino,
ark,
arora,
asc,
aspcud,
atomicparsley,
attal,
audex,
auralquiz,
autodock-vina,
autodocksuite,
avifile,
avogadro,
azr3-jack,
balder2d,
ballz,
bangarang,
basket,
bastet,
berusky,
bespin,
bibletime,
bacula,
bino,
bist,
bitstormlite,
blahtexml,
blender,
blinken,
blobandconquer,
blobby,
bloboats,
blobwars,
blockattack,
blocks-of-the-undead,
bluedevil,
boats,
boinc,
boo,
boost1.49,
brewtarget,
briquolo,
bsnes,
btag,
btanks,
burp,
cadencii,
calibre,
calligra,
cantor,
cb2bib,
cbmc,
cclive,
ccseapps,
celestia,
charls,
choqok,
chromaprint,
chromium-browser,
chromium-bsu,
clang,
clasp,
clementine,
clustalo,
clustalw,
clustalx,
cmake,
codeblocks,
codfis,
colibri,
colorcode,
clanlib,
coala,
collatinus,
comparepdf,
composite,
condor,
confclerk,
connectagram,
contextfree,
cortina,
cppcheck,
cppunit,
crimson,
criticalmass,
crtmpserver,
cryptkeeper,
csmash,
csound,
csstidy,
cutecom,
cutesdr,
cuyo,
cvc3,
cxxtest,
daemonfs,
dares,
darkice,
dc-qt,
debconf-kde,
desmume,
digikam,
dino,
dnssec-tools,
dolfin,
doxygen,
diffpdf,
distorm64,
dvbcut,
dxflib,
dynare,
eclipse-cdt,
edfbrowser,
efax-gtk,
eigen2,
eigen3,
einstein,
eiskaltdcpp,
ekiga,
elmerfem,
encfs,
engauge-digitizer,
epiphany,
eqonomize,
esperanza,
esys-particle,
eclipse-linuxtools,
exempi,
extremetuxracer,
fact++,
fakeroot-ng,
fastjet,
faust,
faustworks,
fbreader,
fcitx-googlepinyin,
fcitx-libpinyin,
felix-latin,
ffdiaporama,
ffmpegthumbnailer,
filelight,
fillets-ng,
fische,
fityk,
flac,
flamerobin,
flare,
flex,
flobopuyo,
fltk1.3,
flush,
fmit,
focuswriter,
fontmatrix,
fife,
fotowall,
fox1.6,
fqterm,
fraqtive,
freefem,
freefem3d,
freemat,
freemedforms-project,
fritzing,
fruit,
gambas3,
gammu,
gav,
gbgoffice,
gdcm,
gentle,
gigedit,
ginkgocadx,
fwbuilder,
giws,
gl-117,
glaurung,
gle-graphics,
glogg,
glpeces,
gmlive,
gnote,
gnuchess,
gobby,
gobby-infinote,
gogglesmm,
goldencheetah,
goldendict,
gource,
gpick,
gpsbabel,
gpt,
grantlee,
grass,
groff,
gtkpool,
grcompiler,
gtkwave,
guymager,
gwenview,
gxtuner,
hedgewars,
herculesstudio,
hexalate,
highlight,
hotot,
hugin,
hydrogen,
ibus-qt,
ibus-sunpinyin,
ibus-unikey,
icedove,
iceweasel,
icu,
ifpgui,
ilmbase,
imageshack-uploader,
imagevis3d,
imspector,
hkl,
inkscape,
innoextract,
inspircd,
ipe,
iperf,
iripdb,
isdnutils,
italc,
jd,
jovie,
jstest-gtk,
irrlicht,
juffed,
jugglemaster,
k3b,
k3d,
k4dirstat,
kactivities,
kadu,
kaffeine,
kalgebra,
kalzium,
kamerka,
kamoso,
kanagram,
kaptain,
kball,
kchmviewer,
kcm-fcitx,
kdbg,
kde-runtime,
kde-workspace,
kde4libs,
kdeadmin,
kdeartwork,
kdegames,
kdemultimedia,
kdenetwork,
kdenlive,
kdepim,
kdepimlibs,
kdeplasma-addons,
kdesdk,
kdesudo,
kdesvn,
kdetoys,
kdevelop,
kdevelop-pg-qt,
kdevelop-php,
kdevplatform,
kdewebdev,
kdiff3,
kdocker,
keepassx,
kelbt,
keurocalc,
kfloppy,
kftpgrabber,
kgeography,
kgpg,
khangman,
kid3,
kig,
kiki-the-nano-bot,
kile,
kiten,
klatexformula,
klettres,
klog,
kmag,
kmess,
kmetronome,
kmidimon,
kmldonkey,
kmousetool,
kmouth,
kmplayer,
kmplot,
kmymoney,
knemo,
knights,
kolabadmin,
komparator,
konsole,
konversation,
kover,
kphotoalbum,
kplayer,
kradio4,
kraft,
krecipes,
kredentials,
kremotecontrol,
krename,
kross-interpreters,
kruler,
krusader,
kscope,
kshutdown,
ksnapshot,
ksshaskpass,
kst,
kstars,
ktikz,
ktorrent,
ktouch,
ktp-auth-handler,
ktp-call-ui,
ktp-contact-list,
ktp-filetransfer-handler,
ktp-send-file,
ktp-text-ui,
kturtle,
kvkbd,
kvpm,
kvpnc,
kwallet,
kwave,
kwordquiz,
l2tp-ipsec-vpn,
l2tp-ipsec-vpn-daemon,
lame,
lammps,
lastfm,
launchy,
kde-baseapps,
kdepim-runtime,
ktimer,
lensfun,
libcec,
libclaw,
libconfig,
libdbusmenu-qt,
libgdf,
libgig,
libibtk,
libjsoncpp,
libktorrent,
liblastfm,
libloki,
libmusicbrainz3,
libpodofo,
libqglviewer,
libqxt,
librecad,
libsigc++-1.2,
libsmbios,
libtool,
libtorrent-rasterbar,
libtut,
