calligra,
clanlib,
condor,
connectagram,
crimson,
efte,
extremetuxracer,
filezilla,
fityk,
flamerobin,
freemedforms-project,
fte,
gemanx-gtk2,
inkscape,
jd,
jugglemaster,
k3d,
kde-runtime,
kde4libs,
kdeadmin,
kdegames,
kdepim,
kdevplatform,
kdewebdev,
kftpgrabber,
kmplot,
kst,
ktorrent,
kde-baseapps,
muse,
mysql-workbench,
newsbeuter,
okular,
pcmanx-gtk2,
plasma-widget-message-indicator,
portabase,
psi-plus,
pyside,
qbrew,
qt4-x11,
qtmobility,
scummvm,
stimfit,
tanglet,
webissues,
wxwidgets2.8,
