antigrav,
attal,
ballz,
between,
blobandconquer,
bloboats,
blobwars,
boswars,
btanks,
crimson,
cultivation,
einstein,
epiphany,
gnuchess,
gravitation,
gtkpool,
hedgewars,
hexxagon,
holdingnuts,
kdegames,
kobodeluxe,
late,
libqglviewer,
lordsawar,
maelstrom,
mana,
megaglest,
minetest,
mmpong,
monopd,
monster-masher,
passage,
pipewalker,
plee-the-bear,
pokerth,
primrose,
qonk,
scid,
scummvm,
starfighter,
supertransball2,
tagua,
tinymux,
tomatoes,
transcend,
trigger-rally,
vdr-plugin-spider,
viruskiller,
vodovod,
warmux,
wesnoth-1.10,
xevil,
zaz,
