castor,
cglib,
collections15,
commons-httpclient,
eclipse-linuxtools,
freehep-graphicsio-java,
freehep-graphicsio-tests,
hsqldb,
icu4j,
icu4j-4.4,
jackrabbit,
jhdf,
libcommons-collections3-java,
libcommons-dbcp-java,
libcommons-digester-java,
libcommons-discovery-java,
libcommons-collections-java,
libjoda-time-java,
libpdfbox-java,
mauve,
netbeans,
