a2ps,
abcm2ps,
acsccid,
adios,
alpine,
aoeui,
apache2,
apr,
avifile,
awesome,
bbe,
beav,
bind9,
boa,
buffer,
ccid,
cctools,
checkpw,
chromium-browser,
cmus,
comedilib,
cvs,
dact,
daemontools,
disktype,
dovecot,
dpkg,
dropbear,
dspam,
dwdiff,
dx,
ed,
emacs23,
enna,
esniper,
elvis,
fdm,
filter,
freebsd-utils,
freecdb,
frotz,
fuse,
gargoyle-free,
gdb,
gogoc,
grass,
gst-plugins-bad0.10,
gstreamer-sharp,
hawknl,
heimdal,
hexer,
icedove,
iceweasel,
imapfilter,
inn2,
innfeed,
ipsvd,
isc-dhcp,
jed,
kfreebsd-8,
kfreebsd-9,
kinput2,
kluppe,
ldns,
libaudio-scan-perl,
libdivecomputer,
libevent,
libgwenhywfar,
libisofs,
libmemcache,
libpam-ssh,
libssh,
libwebp,
lighttpd,
linux,
linux86,
lpe,
lrslib,
lsh-utils,
lua-apr,
lua-lgi,
lua-sec,
luasocket,
luatex,
macutils,
love,
mdm,
mediatomb,
mg,
most,
mpd,
mpegdemux,
mpg123,
mplayer,
mplayer2,
msn-pecan,
mtools,
mumble,
navit,
ne,
neko,
netsurf,
nettle,
mpich2,
ng,
nsd3,
ntp,
open-iscsi,
openafs,
openbgpd,
openct,
openntpd,
openssh,
openssl,
openswan,
openvpn,
par,
parrot,
pcb,
pgpdump,
pidentd,
prayer,
psimedia,
py-postgresql,
pymongo,
python-numpy,
quagga,
radare2,
randomize-lines,
rlinetd,
roaraudio,
rplay,
rpy2,
ruby-escape-utils,
ruby-redcarpet,
runit,
sbrsh,
speex,
swh-lv2,
tcm,
tar,
tintin++,
tinydyndns,
tinyproxy,
tkgate,
tla,
transcode,
tweak,
ucspi-tcp,
uucp,
vile,
vim,
vips,
vlc,
vorbis-tools,
w3m,
wily,
wine,
wine-gecko-1.4,
wireshark,
vncsnapshot,
xcp-vncterm,
xen,
xenomai,
xgalaga,
xine-lib,
xine-lib-1.2,
xmlindent,
xmlsec1,
xneur,
xorp,
texlive-bin,
yafc,
zephyr,
zile,
