4g8,
acedb,
acsccid,
afuse,
alliance,
alltray,
alsa-lib,
alsa-utils,
analog,
anjuta,
anyremote,
aqualung,
ardesia,
arp-scan,
asterisk,
aubio,
audacious-plugins,
autoclass,
avfs,
avifile,
bfbtester,
biloba,
bind9,
binutils,
binutils-h8300-hms,
bld,
bluez,
bmon,
btrfs-tools,
busybox,
bwa,
calligra,
ccid,
cadaver,
calcurse,
chicken,
chromium-browser,
claws-mail,
clipit,
cntlm,
colorblind,
commons-daemon,
connman,
cp2k,
crossfire,
cryptmount,
cssed,
ctn,
curtain,
cvsgraph,
cyrus-sasl2,
db,
db4.7,
db4.8,
dbus,
convlit,
cryptsetup,
denemo,
dhcp-probe,
dia,
dibbler,
discover,
dpkg,
drivel,
dvbcut,
dwww,
dx,
edfbrowser,
electricsheep,
enna,
enscript,
enum,
erlang,
eukleides,
evolution-ews,
exif,
faad2,
febootstrap,
feh,
filter,
flac,
folks,
fontforge,
exfat-utils,
fcitx,
freesweep,
fso-gsmd,
ftnchek,
fuse-emulator,
fuse-exfat,
fwknop,
fwlogwatch,
gargoyle-free,
gcal,
gcl,
gdb,
gdesklets,
gdmap,
geany,
geany-plugins,
gesftpserver,
ggobi,
gimp,
fuse-emulator-utils,
girara,
gkrellm,
glib2.0,
gmerlin-avdecoder,
gnat-gps,
gnokii,
gnome-mud,
gnome-nettool,
gnome-xcf-thumbnailer,
gnugo,
gnutls26,
gozer,
gpiv,
gpx2shp,
grace,
graphviz,
grass,
grisbi,
gsasl,
gsnmp,
gsql,
gss,
gst-buzztard,
gst-plugins-base0.10,
gstreamer0.10-ffmpeg,
gthumb,
gtkhtml3.14,
gtkhtml4.0,
gtkimageview,
gpa,
gross,
gummi,
gurlchecker,
guvcview,
gxine,
h5py,
hal,
hatari,
hexec,
httping,
icinga,
ike-scan,
indent,
indigo,
herbstluftwm,
ipband,
iproute,
ips,
isdnutils,
joe,
jpilot,
ipfm,
jupp,
kaa-base,
kannel,
kbuild,
kcov,
kdrill,
kino,
krb5,
labrea,
lasso,
latex2rtf,
latexila,
jwhois,
keepalived,
leafpad,
lebiniou,
ledmon,
leptonlib,
libapt-pkg-perl,
libauthen-tacacsplus-perl,
libav,
libcdio,
libcgns,
libcsoap,
libdc1394-22,
libdebian-installer,
libdivecomputer,
libgcal,
libgpiv,
libgrss,
libgtop2,
libhbalinux,
libidn,
libircclient,
libmp3splt,
libnice,
libnl,
libnl3,
libomxil-bellagio,
liboobs,
libpam-blue,
libpar-packer-perl,
libsndfile,
libsylph,
libsysactivity,
libunicode-linebreak-perl,
libvalhalla,
lifelines,
linphone,
linux,
linux-ntfs,
linux-tools,
lives,
loki,
luatex,
luvcview,
lxappearance,
lxc,
lxmusic,
lxtask,
macopix,
man2html,
mcabber,
mesa,
metastore,
mew,
mew-beta,
mig,
mimedefang,
minidlna,
mit-scheme,
mlpcap,
mlt,
mod-gearman,
modemmanager,
mono,
mousepad,
mp3splt,
mpd,
mplayer,
mrbayes,
muddleftpd,
multitail,
myodbc,
nagios-nrpe,
nagios-plugins,
nagios3,
nano,
nas,
ncmpc,
ncview,
ndoutils,
nedit,
neon27,
net-acct,
netcdf,
netsurf,
network-manager,
network-manager-applet,
network-manager-openvpn,
mpich2,
nfs-utils,
nsca,
ntfs-3g,
nvclock,
nwchem,
ocfs2-tools,
ogdi-dfsg,
nmh,
openafs,
opencc,
openchange,
openct,
openldap,
openswan,
osdsh,
pacemaker,
packit,
parcellite,
parrot,
partclone,
osmo,
pcmanfm,
pennmush,
picviz,
pidgin-musictracker,
pilot-link,
pcsc-lite,
pixman,
player,
pmount,
pnp4nagios,
poppler,
ppp,
prerex,
psycopg2,
ptop,
pytables,
qi,
qingy,
qiv,
qutecom,
rbootd,
rc,
quarry,
recoverdm,
recoverjpeg,
redsocks,
remind,
rggobi,
rgtk2,
rlwrap,
rubrica,
rifiuti2,
samba,
samba4,
sash,
savi,
scamper,
scheme48,
schroedinger,
searchandrescue,
sed,
ser2net,
sflphone,
shapetools,
shishi,
sigscheme,
simulavr,
siproxd,
sjeng,
skinedit,
sma,
snappy-player,
socat,
socket,
socks4-server,
sombok,
sortmail,
spamassassin,
spline,
spotlighter,
squizz,
ssed,
starpu,
strongswan,
super,
sylpheed,
synce-hal,
synce-trayicon,
syslog-ng,
tacacs+,
tcpreplay,
tcpstat,
tessa,
tetrinetx,
tightvnc,
tinc,
tint,
tintin++,
tinyproxy,
tla,
tpconfig,
transmission,
trueprint,
tvtime,
u-boot,
uim,
umview,
usbmuxd,
usepackage,
util-linux,
uwsgi,
valatoys,
valgrind,
vdpau-video,
vifm,
virtualbox,
vlc,
vmfs-tools,
vnc4,
wavpack,
webcit,
webdruid,
weborf,
wget,
whois,
wily,
wine,
wmdrawer,
wordgrinder,
wpa,
wput,
x11-utils,
x11-xkb-utils,
xbattle,
xbubble,
xcache,
xcftools,
xen,
xfce4-netload-plugin,
xfrisk,
xfs,
xine-lib,
xine-lib-1.2,
xine-ui,
xlog,
xmakemol,
xmms2,
xmorph,
xneur,
xorg-server,
texlive-bin,
xqf,
xxgdb,
yafc,
yorick-mpeg,
z80dasm,
zathura,
zeitgeist,
zeitgeist-datahub,
yorick-yao,
zsh,
zsh-beta,
