acegi-security,
apache-mime4j,
axis,
biojava-live,
biojava3-live,
castor,
db,
db4.7,
db4.8,
dom4j,
geronimo-jpa-2.0-spec,
geronimo-jpa-3.0-spec,
glassfish,
ikvm,
java-gnome,
jenkins-dom4j,
jing-trang,
jbossas4,
jtidy,
libdb-je-java,
libexml-java,
libhibernate3-java,
libjaxp1.3-java,
lwjgl,
netbeans,
omegat,
osmosis,
tau,
uima-addons,
wsdl2c,
xml-commons-external,
xml-crimson,
