axis,
babel,
bcel,
beansbinding,
bsh,
castor,
cdk,
doctorj,
dom4j,
dx,
eclipse-emf,
eclipse-gef,
eclipselink,
electric,
elki,
galax,
geogebra,
glassfish,
groovy,
groovy1.7.2,
guice,
hsqldb,
htmlunit,
htmlunit-core-js,
icedtea-web,
ikvm,
jackrabbit,
java3d,
javacc,
jcsp,
jebl2,
jedit,
jenkins-commons-jexl,
jenkins-dom4j,
jenkins-htmlunit,
jenkins-htmlunit-core-js,
jetty8,
jmol,
jruby,
jruby-joni,
jsoup,
josm,
jts,
jvyamlb,
knopflerfish-osgi,
kxml2,
jtidy,
libaxiom-java,
libcommons-jexl-java,
libdb-je-java,
libexml-java,
libfreemarker-java,
libhibernate3-java,
libhtmlparser-java,
libjaxp1.3-java,
libjboss-aop-java,
libjboss-cache1-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-web-services-java,
libjettison-java,
libjboss-metadata-java,
libjgroups-java,
libjgroups2.6-java,
libjxp-java,
libmecab-java,
libpal-java,
libtggraphlayout-java,
libxalan2-java,
libxpp2-java,
logback,
mkgmap,
mule,
mvel,
netbeans,
ognl,
openjpa,
openvrml,
osmosis,
pegasus-wms,
pentaho-reporting-flow-engine,
piespy,
rhino,
sablecc,
simple-xml,
sisu-guice,
tau,
tomcat6,
tomcat7,
triplea,
txw2,
uima-as,
umlet,
velocity,
weka,
xml-commons-external,
xml-crimson,
xmlbeans,
xom,
yecht,
yui-compressor,
zeroc-ice,
