0ad,
4store,
9base,
a2jmidid,
abook,
acpi,
aide,
alleyoop,
alpine,
anubis,
apparix,
asmon,
aubio,
audacious,
barnowl,
bbrun,
bind9,
bibutils,
boinc,
boost1.49,
bopm,
bosh,
bsd-mailx,
bsdgames,
busybox,
cableswig,
cctools,
cdde,
cdo,
cgoban,
chimera2,
chromium-browser,
clex,
clustalo,
cmucl,
cone,
cook,
courier,
cp2k,
cpufreqd,
ctwm,
daemon,
dancer-ircd,
dfc,
dico,
dict-gcide,
diod,
dns2tcp,
directfb,
dropbear,
dspam,
dvbstreamer,
dx,
ebook-tools,
edac-utils,
eglibc,
elk,
enet,
enigma,
epic4,
epic5,
evince,
fauhdlc,
faumachine,
feh,
ffrenzy,
fhist,
fileschanged,
fizmo,
fprintd,
freeipmi,
freepops,
freerdp,
funnelweb,
gauche,
gearmand,
genders,
geomview,
gettext,
glib2.0,
glosstex,
gman,
gmime,
gnoemoe,
gnome-settings-daemon,
gnubg,
goban,
gocr,
golang,
gpac,
graphicsmagick,
grass,
grib-api,
gromacs,
grub2,
gtk+2.0,
gtk-gnutella,
gtk-sharp2,
gtkhash,
guile-1.6,
guile-1.8,
guile-2.0,
haskell-hs-bibutils,
heimdal,
heirloom-mailx,
hunt,
icedove,
iceweasel,
imagemagick,
imapfilter,
inn2,
ircd-hybrid,
ircd-irc2,
ircd-ircu,
ircii,
jack-audio-connection-kit,
jgraph,
john,
jove,
jpnevulator,
kannel,
kfreebsd-8,
kfreebsd-9,
knockd,
keepalived,
lbreakout2,
ldb,
ledmon,
leptonlib,
lhasa,
libaal,
libacpi,
libconvert-binary-c-perl,
libdebian-installer,
libepsilon,
libexplain,
libgarmin,
libgee,
libgnomeprint,
libgwenhywfar,
liblicense,
libmaa,
libmpdclient,
libnih,
libopenusb,
libpgm,
libplist,
librasterlite,
libreoffice,
libsx,
libvalhalla,
libxml2,
lifelines,
lldpad,
log4c,
lmemory,
lsh-utils,
ltris,
luatex,
luola,
lvm2,
magic,
mailutils,
mana,
matchbox-window-manager,
mathomatic,
mcl,
mesa-demos,
mgp,
milter-greylist,
miredo,
mit-scheme,
mono,
mpc,
mplayer,
mplayer2,
mpop,
msmtp,
mspdebug,
mysql-5.5,
namazu2,
naspro-core,
nbtscan,
netcdf,
netpbm-free,
netsurf,
neverball,
nrss,
nss,
olsrd,
openafs,
openarena,
openscap,
openvpn,
ophcrack,
owl,
paje.app,
paraview,
parrot,
openvswitch,
pdnsd,
pdsh,
pgbouncer,
pgpool2,
petitboot,
plucker,
polyglot,
postgresql-8.4,
postgresql-9.1,
powerman,
prayer,
privoxy,
pymol,
qsf,
quickplot,
r-base,
racket,
radare2,
radsecproxy,
rc,
renameutils,
ruli,
samba4,
scanmem,
scrollz,
scrounge-ntfs,
sflphone,
sgt-puzzles,
shadow,
sigscheme,
slurm-llnl,
sn,
spass,
splint,
styx,
subversion,
sudo,
supertuxkart,
swftools,
swig2.0,
swish-e,
symmetrica,
syrep,
systemtap,
taningia,
task-spooler,
tcpreplay,
tdl,
teem,
testdisk,
tgif,
tar,
tin,
tinc,
tintin++,
tkgate,
transmission,
trousers,
tsdecrypt,
tucnak2,
tuxonice-userui,
twm,
twoftpd,
uim,
unzip,
vala-0.14,
vala-0.16,
vanessa-adt,
uhub,
virtualbox,
vlock,
vnc4,
voms,
vtk,
vtwm,
wcalc,
wily,
wine,
wine-gecko-1.4,
wizznic,
wmbiff,
wmifs,
wmitime,
wmmon,
wmppp.app,
wmressel,
wmtime,
wmtv,
wv,
wzdftpd,
x11-apps,
x11-session-utils,
vzctl,
xbae,
xball,
xbmc,
xcircuit,
xdmf,
xfonts-utils,
xfsdump,
xine-lib,
xine-lib-1.2,
xine-ui,
xinput,
xmlsec1,
xmms2-scrobbler,
xorg-server,
xournal,
xpilot-ng,
texlive-bin,
xpyb,
xrdp,
xview,
xz-utils,
yafc,
yorick,
zfsutils,
zimpl,
zoem,
zfs-fuse,
