9base,
a52dec,
abcm2ps,
acedb,
acl,
acm,
adns,
apcupsd,
afterstep,
alliance,
alsa-tools,
anjuta,
anyremote,
apt-spy,
asterisk,
avfs,
bibtool,
boost1.49,
brltty,
bsdgames,
bsdmainutils,
busybox,
canna,
ccid,
cfengine2,
cfingerd,
charybdis,
chasen,
chiark-tcl,
chromium-browser,
cjet,
cmucl,
conntrack,
copyfs,
covered,
cpufrequtils,
crasm,
crystalhd,
csh,
ctn,
ctwm,
cyrus-imapd-2.4,
dact,
dadadodo,
dancer-ircd,
db,
db4.8,
dcraw,
dict-gcide,
dictd,
dieharder,
digikam,
distcc,
dmake,
dnsproxy,
dpkg,
drawterm,
dvbcut,
dx,
e2fsprogs,
ekg,
elinks,
empire-lafe,
enigmail,
epic4,
epic5,
exim4,
exuberant-ctags,
falconpl,
fdclone,
fdutils,
filter,
filtergen,
fio,
flex,
flex-old,
freebsd-buildutils,
freeradius,
freebsd-libs,
fswebcam,
ftjam,
funtools,
fvwm,
gargoyle-free,
gdb,
gdcm,
gdis,
geany,
genius,
gesftpserver,
glide,
glotski,
glusterfs,
gmediaserver,
gnuplot,
gnutls26,
goattracker,
gob2,
gp2c,
gpsbabel,
gpsim,
gputils,
graphviz,
grass,
gridengine,
groff,
gtk-gnutella,
heimdal,
icedove,
iceweasel,
icon,
icu,
indent,
ipsec-tools,
ipset,
ircd-hybrid,
ircd-irc2,
ircd-ircu,
ircd-ratbox,
ircii,
irssi,
isc-dhcp,
isns,
jam,
jwm,
kannel,
kdegraphics-strigi-analyzer,
keytouch-editor,
kimwitu,
knews,
krb5,
ksh,
ladr,
lame,
lcdproc,
lcgdm,
ldapvi,
ldns,
libcgroup,
libdbd-sqlite2-perl,
libdca,
libdv,
libedit,
libexplain,
libgcgi,
libgii,
libgetdata,
libid3tag,
libmimedir,
libnetfilter-conntrack,
libnih,
libotr,
libquvi,
libreoffice,
libxpm,
linux,
linux-tools,
lmms,
lowpan-tools,
lsh-utils,
luatex,
lxc,
lyskom-server,
mailutils,
masqmail,
mathomatic,
mawk,
mcrl2,
mediatomb,
mgp,
mgt,
midish,
mixal,
monkeystudio,
mozart,
mozjs,
mpg123,
mrtg,
mutt,
mysql-5.5,
net-snmp,
netsurf,
nettle,
ngircd,
nrss,
nss,
ntp,
nwchem,
olsrd,
omniorb-dfsg,
onak,
open-axiom,
openipmi,
openldap,
opensc,
original-awk,
pam-pkcs11,
paperkey,
pari,
pegasus-wms,
pennmush,
pidgin,
pkg-config,
player,
ploticus,
pmake,
pmk,
polyglot,
prerex,
pspp,
psqlodbc,
qgis,
qsf,
radare2,
rc,
quotatool,
rdiff-backup-fs,
root-system,
rrdcollect,
rsyslog,
ruby1.8,
ruby1.9.1,
s3d,
samba,
samba4,
scilab,
sbcl,
scrollz,
setools,
sma,
silo-llnl,
sortmail,
speech-dispatcher,
squid3,
squizz,
streamripper,
sudo,
svgalib,
squid,
tacacs+,
tachyon,
telak,
tightvnc,
tintin++,
tnftp,
torque,
tuxonice-userui,
twm,
ucblogo,
unixodbc,
unpaper,
unrtf,
urjtag,
util-linux,
uucp,
vavoom,
vlc,
vnc4,
vtwm,
wine,
wine-gecko-1.4,
x11-apps,
xbattle,
xbmc,
xcfa,
xchat-xsys,
xdg-user-dirs-gtk,
xine-lib,
xine-lib-1.2,
xinetd,
xmedcon,
xmhtml,
xmms2,
xnee,
xplc,
texlive-bin,
xsok,
xtrace,
xutils-dev,
xview,
yorick,
zoem,
zoo,
zsh,
zsh-beta,
