alsa-lib,
analog,
anthy,
antlr,
ap-utils,
apcalc,
autotrace,
bluez-tools,
bmon,
boo,
bsdgames,
calcoo,
chromium-browser,
clif,
cloog,
cmus,
cook,
cscope,
cxref,
dash,
dhex,
dialign,
directfb,
ekg2,
elinks,
elvis-tiny,
enna,
epic4,
epic5,
esekeyd,
euler,
elvis,
excellent-bifurcation,
extace,
fceu,
fdclone,
fhist,
fish,
freedink,
freedroid,
freerdp,
freedroidrpg,
frotz,
fso-deviced,
fuse-emulator,
garden-of-coloured-lights,
gargoyle-free,
gcompris,
gdb,
getstream,
glfw,
gltron,
glusterfs,
gmerlin-avdecoder,
gnu-smalltalk,
graphviz,
grass,
grafx2,
halibut,
haskell-glfw,
hugs98,
hwinfo,
ices2,
input-utils,
instead,
iptraf,
ircii,
jless,
jumpnbump,
jzip,
kbuild,
klibc,
koules,
ksplice,
kterm,
lcdproc,
lebiniou,
less,
libcaca,
libelf,
libforms,
libgii,
libmpc,
libsigrok,
libtext-bibtex-perl,
linux,
linux86,
lookup,
lpe,
lsh-utils,
m17n-lib,
m4,
magic,
malaga,
mc,
ming,
mp4h,
mplayer,
mplayer2,
msort,
mysql-5.5,
ne,
nec2c,
necpp,
netrek-client-cow,
nettle,
nsis,
open-axiom,
openafs,
openarena,
osm2pgsql,
overgod,
pal,
pachi,
postgresql-8.4,
postgresql-9.1,
qemu,
qemu-kvm,
rabbitsign,
radare2,
ratpoison,
rc,
readline5,
readline6,
rnahybrid,
rxp,
s3d,
screader,
screen,
scrollz,
speech-tools,
spooles,
stax,
tellico,
tennix,
tintin++,
tmux,
trueprint,
tvtime,
u-boot,
viewmol,
vile,
vlc,
vnc4,
wine,
wise,
wizznic,
x264,
xbae,
xfsprogs,
xnec2c,
xorg-server,
omake,
xsoldier,
xterm,
xtrkcad,
xtux,
xview,
xzip,
yafc,
yash,
ytree,
yagiuda,
zsh,
zsh-beta,
