acegi-security,
activemq,
animal-sniffer,
ant,
antlr,
apache-log4j1.2,
apgdiff,
args4j,
aspectj,
axis,
azureus,
basex,
batik,
boo,
bridge-method-injector,
carmetal,
castor,
bootchart,
charactermanaj,
checkstyle,
chromium-browser,
cobertura,
cup,
doctorj,
dojo,
ecj,
eclipse,
eclipse-cdt,
eclipse-mylyn,
eclipse-rse,
electric,
felix-main,
figtree,
fop,
freevo,
geogebra,
glassfish,
gridengine,
groovy,
groovy1.7.2,
guice,
htmlunit-core-js,
hugin,
icedtea-web,
ikvm,
indigo,
ivy,
jackrabbit,
jajuk,
jardiff,
jarjar,
jarjar-maven-plugin,
jasmin-sable,
java3ds-fileloader,
javacc,
javacc-maven-plugin,
javassist,
jaxme,
jblas,
jclic,
jcsp,
jenkins-executable-war,
jenkins-htmlunit-core-js,
jenkins-remoting,
jetty,
jetty8,
jeuclid,
jflex,
jgit,
jlex,
jruby,
jta,
jtharness,
jbossas4,
jmdns,
josm,
jtreg,
kde4libs,
knopflerfish-osgi,
laby,
libbsf-java,
libcommons-digester-java,
libcommons-launcher-java,
libcommons-modeler-java,
libglazedlists-java,
libj2ssh-java,
libjdom1-java,
libjena-iri-java,
libjgraph-java,
libjlatexmath-java,
libjpfcodegen-java,
libjswingreader-java,
libmx4j-java,
libnb-javaparser-java,
libreoffice,
libsimple-validation-java,
libslf4j-java,
libtritonus-java,
libxbean-java,
logback,
logisim,
mina,
mina2,
mkgmap,
mobile-atlas-creator,
mondrian,
msv,
mvel,
netbeans,
nexuiz-data,
nyquist,
objenesis,
omegat,
openjdk-6,
openjdk-7,
openjpa,
openrocket,
rhino,
scala,
service-wrapper-java,
sezpoz,
shrinksafe,
sisu-guice,
sisu-ioc,
spring,
statcvs,
statsvn,
sumo,
substance,
tau,
trove,
txw2,
umlet,
visolate,
weka,
xen-api,
zendframework,
zeroc-ice,
zookeeper,
