ant-contrib,
aspectj,
basex,
biojava3-live,
bsh,
clojure1.2,
clojure1.4,
cobertura,
db,
easymock,
ecj,
eclipse,
eclipse-cdt,
eclipse-emf,
eclipse-mylyn,
eclipselink,
eigenbase-farrago,
eigenbase-resgen,
electric,
elki,
emboss,
felix-framework,
felix-gogo-command,
felix-shell,
geogebra,
glassfish,
gridengine,
hsqldb,
htmlunit,
ikvm,
jabref,
jackrabbit,
jakarta-taglibs-standard,
java-gnome,
javadap,
javassist,
jaxme,
jcsp,
jenkins-htmlunit,
jetty,
jetty8,
jmol,
jnr-x86asm,
jruby,
jsch,
jbossas4,
jericho-html,
jython,
king,
knopflerfish-osgi,
libapache-poi-java,
libcommons-attributes-java,
libcommons-cli-java,
libcommons-net1-java,
libcommons-net2-java,
libjaba-client-java,
libjboss-aop-java,
libjboss-cache2-java,
libjboss-cache3-java,
libjboss-common-java,
libjboss-deployers-java,
libjboss-web-services-java,
libjboss-xml-binding-java,
libjgroups-java,
libjgroups2.6-java,
libjogl-java,
libjogl2-java,
libjorbis-java,
libjpf-java,
libjpfcodegen-java,
libnb-javaparser-java,
liboro-java,
libquartz-java,
libslf4j-java,
libtritonus-java,
libxalan2-java,
libxerces2-java,
libxmlrpc3-java,
logback,
lucene-solr,
lwjgl,
mauve,
maven-war-plugin,
mojarra,
mondrian,
msv,
mysql-connector-java,
netbeans,
pylucene,
qdbm,
segment,
sikuli,
simplyhtml,
sisc,
sitemesh,
spring,
swi-prolog,
swt-paperclips,
swtchart,
tomcat6,
tomcat7,
triplea,
uimaj,
visolate,
voms-api-java,
wsdl2c,
wsil4j,
why,
xhtmlrenderer,
xz-java,
yap,
yui,
zeroc-ice,
zeroc-icee-java,
zookeeper,
