apex,
afterstep,
alex4,
allegro4.4,
alsa-lib,
aplus-fsf,
aubio,
avifile,
awesome,
bind9,
booth,
bsdgames,
cctools,
cdo,
cgoban,
comedilib,
corosync,
dico,
dict-gcide,
docbook-to-man,
elinks,
epic4,
epic5,
eterm,
fdm,
fftw,
fftw3,
freebsd-utils,
fuse-emulator,
fxt,
gavl,
gcompris,
gfarm,
glusterfs,
gnomekiss,
gnotime,
gnu-smalltalk,
gnubg,
goban,
goo,
gplanarity,
graphicsmagick,
grass,
grub,
gnumach,
gworldclock,
hawknl,
hercules,
heroes,
httperf,
hugs98,
hunt,
hypre,
imagemagick,
inn2,
iptraf,
ipxe,
isakmpd,
ivykis,
kfreebsd-8,
kfreebsd-9,
keepalived,
lcd4linux,
libdvdnav,
libdvdread,
libevent-perl,
libforms,
libixp,
libkqueue,
libmaa,
libmad,
libnice,
libnih,
libpgm,
lincity,
linux,
linux-atm,
linux86,
lmarbles,
luakit,
mono,
mooproxy,
moria,
mpd,
munge,
nap,
newlib,
mpich2,
ntp,
nwchem,
ocp,
open-iscsi,
openafs,
openbgpd,
openbios-ppc,
openbios-sparc,
openswan,
oss4,
owl,
parted,
openvswitch,
pennmush,
pente,
pimd,
petitboot,
postgresql-8.4,
postgresql-9.1,
ptpd,
radvd,
rplay,
sanduhr,
scantool,
scilab,
sflphone,
siege,
silo,
simgrid,
simulavr,
sndobj,
sopwith,
strongswan,
suck,
swi-prolog,
syslinux,
syslog-ng,
systemd,
systemtap,
tcng,
tcpreplay,
tf,
tcpick,
timidity,
tint2,
tuxpuck,
u-boot,
uhd,
vdr-plugin-xineliboutput,
uhub,
virtualbox,
vlc,
wavemon,
wide-dhcpv6,
wine,
wmii,
xabacus,
xbmc,
xbubble,
xen,
xenomai,
xine-lib,
xine-lib-1.2,
xpuzzles,
xvidcore,
zephyr,
zzuf,
