0ad,
actionaz,
aqsis,
aranym,
btanks,
cclive,
critterding,
crtmpserver,
cupt,
cxxtools,
fakeroot-ng,
gnudatalanguage,
gobby-infinote,
gource,
grfcodec,
guymager,
inkscape,
innoextract,
kbibtex,
kde4libs,
libcommoncpp2,
libktorrent,
liblas,
libopenraw,
libtorrent-rasterbar,
libwibble,
log4cxx,
milkytracker,
mednafen,
mrtrix,
musescore,
mysql-5.5,
mysql-connector-c++,
ogre,
ogre-1.8,
pyside,
qt4-x11,
rsyncrypto,
scummvm,
shedskin,
softhsm,
texmacs,
ucommon,
upx-ucl,
vidalia,
vym,
wxwidgets2.8,
