antigrav,
balder2d,
bloboats,
bsnes,
btanks,
brutalchess,
clanlib,
einstein,
epiphany,
gl-117,
ho22bus,
kde-workspace,
late,
mysql-workbench,
ncmpcpp,
openssn,
pinball,
qonk,
qtoctave,
rafkill,
scummvm,
sdl-ball,
sidplay,
sidplayfp,
smc,
spice,
superkaramba,
supertux,
tomatoes,
trigger-rally,
tuxfootball,
vavoom,
vdr-plugin-sudoku,
vodovod,
warmux,
wesnoth-1.10,
wxwidgets2.8,
zaz,
