9base,
allegro4.4,
alpine,
alsaplayer,
amanda,
anjuta,
anypaper,
aoeui,
ap-utils,
apcalc,
apf,
apt-spy,
aribas,
arpwatch,
asterisk,
asylum,
autogen,
avfs,
avra,
avrp,
beav,
bind9,
biosquid,
bluefish,
brltty,
bygfoot,
cableswig,
calligra,
canna,
cde,
cdo,
chimera2,
chromium-browser,
clustalo,
cmake,
cmus,
cook,
cowdancer,
criticalmass,
csh,
curl,
cxref,
cups,
cdrkit,
deborphan,
denemo,
detox,
dillo,
disktype,
dmitry,
dmraid,
dosfstools,
dpkg,
dvbcut,
dvdisaster,
dwdiff,
e2undel,
elinks,
elk,
epm,
fceu,
fdclone,
fdm,
ffproxy,
fhist,
file,
flac,
fossil,
fped,
freebsd-smbfs,
freebsd-utils,
freegish,
freerdp,
funtools,
fuse-emulator,
gammu,
ganglia,
gbonds,
gdis,
gentoo,
gfm,
glabels,
glib2.0,
gmerlin,
gnokii,
gnome-paint,
gnubg,
goffice,
gpaint,
grass,
gridengine,
grub2,
gsl,
gstreamer0.10-ffmpeg,
gtk-gnutella,
gtklp,
gtkpod,
gtkwave,
gv,
gwyddion,
gyp,
haskell-download-curl,
hatari,
heimdal,
hexcurse,
hexedit,
hnb,
htmldoc,
iceweasel,
icon,
imapfilter,
imlib2,
hfsutils,
httest,
ipgrab,
ips,
jack-rack,
jack-tools,
jed,
jeex,
jpegpixi,
kbuild,
kino,
knews,
ladish,
lbreakout2,
leafpad,
lib3ds,
libaal,
libast,
libav,
libburn,
libcaca,
libcompface,
libexplain,
libgda5,
libguestfs,
libgetdata,
libid3tag,
libnih,
libpano13,
libvisual-plugins,
libxcursor,
libxfont,
lifelines,
links2,
linux,
linux-atm,
lmarbles,
luatex,
lv,
mailutils,
make-dfsg,
mc,
mdbtools,
mg,
minicom,
monit,
mono,
mopd,
morla,
most,
mousepad,
mpage,
mpdscribble,
mplayer,
mtools,
muddleftpd,
navit,
ncurses-hexedit,
ncview,
nedit,
neko,
net-snmp,
netatalk,
netcdf,
netpbm-free,
netsend,
netsurf,
netw-ib-ox-ag,
nfs-utils,
ng,
nickle,
ninja,
ntp,
obexpushd,
omega-rpg,
open-vm-tools,
openbios-ppc,
openbios-sparc,
opendnssec,
openmpi,
openscap,
orafce,
oregano,
paraview,
parrot,
parted,
pavuk,
openvswitch,
pachi,
pcaputils,
pcb,
pd-cyclone,
pearpc,
php5,
poc-streamer,
postfix,
postgresql-9.1,
prayer,
pv,
pysmbc,
quik,
racket,
radare2,
recite,
redhat-cluster,
refit,
remake,
ristretto,
roaraudio,
ruby1.8,
ruby1.9.1,
samba,
samba4,
scmxx,
sdlbasic,
sflphone,
shishi,
silo,
simgrid,
silo-llnl,
splint,
squizz,
sra-sdk,
starpu,
strace,
stunnel4,
subsurface,
svrcore,
swftools,
swi-prolog,
swig2.0,
swish-e,
tcm,
tcpreplay,
tenace,
tessa,
tgif,
the,
tnef,
tomcat-native,
typespeed,
u-boot,
udftools,
udo,
unpaper,
unshield,
via,
viking,
vile,
vlc,
vnc4,
w3m,
wdm,
wily,
wine,
wireshark,
wise,
wmf,
x-loader,
xabacus,
xbmc,
xboing,
xcfa,
xdm,
xfsprogs,
xl2tpd,
xlhtml,
xmakemol,
xmlrpc-c,
xmms2,
xmp,
xoscope,
xpilot-ng,
texlive-bin,
xpuzzles,
xrdp,
yaboot,
yasm,
yforth,
zephyr,
zile,
zziplib,
