apgdiff,
atinject-jsr330,
basex,
biojava-live,
biojava3-live,
bnd,
cdi-api,
checkstyle,
eclipse,
eclipse-mylyn,
eclipselink,
ehcache,
eigenbase-farrago,
elki,
fontchooser,
glassfish,
gridengine,
guava-libraries,
guice,
ikvm,
ini4j,
jackrabbit,
jakarta-jmeter,
jblas,
jenkins-remoting,
jeuclid,
jgromacs,
jsoup,
jbossas4,
jericho-html,
jmdns,
junit4,
libaxiom-java,
libcodemodel-java,
libcommons-discovery-java,
libgoogle-collections-java,
libhibernate3-java,
libgoogle-gson-java,
libjaba-client-java,
libjackson-json-java,
libjboss-classloader-java,
libjboss-deployers-java,
libjboss-marshalling-java,
libjboss-microcontainer-java,
libjboss-reflect-java,
libjboss-web-services-java,
libjboss-xml-binding-java,
libjsr166y-java,
libjsr311-api-java,
libnb-javaparser-java,
libspring-ldap-java,
libspring-java,
libswingx-java,
libswingx1-java,
libvoikko,
libxbean-java,
maven-javadoc-plugin,
maven-plugin-tools,
mobile-atlas-creator,
naga,
netbeans,
netty,
netty3.1,
omegat,
openrocket,
osgi-compendium,
osgi-core,
owasp-java-html-sanitizer,
portlet-api-2.0-spec,
rhash,
rjava,
rserve,
scala,
scilab,
segment,
sezpoz,
sisc,
sisu-guice,
sisu-ioc,
snappy-java,
svgsalamander,
stapler,
txw2,
uima-addons,
wsdl2c,
xz-java,
