castor,
eclipselink,
glassfish,
ikvm,
jakarta-jmeter,
jas-plotter,
java-gnome,
jaxme,
jenkins-commons-jelly,
libjboss-web-services-java,
libjcommon-java,
libjpf-java,
libspring-java,
libxalan2-java,
libxerces2-java,
mondrian,
mule,
nekohtml,
netbeans,
omegat,
openjpa,
scilab,
segment,
simple-xml,
testng,
xmlbeans,
zeroc-ice,
